time	stockId	中文名稱
0906_1328	3617	碩天
0906_1328	3325	旭品
0906_1328	2727	王品
0906_1328	3617	碩天
0906_1328	3325	旭品
0906_1328	2727	王品
0906_1325	6231	系微
0906_1325	5439	高技
0906_1322	6245	立端
0906_1322	6118	建達
0906_1319	3305	昇貿
0906_1319	2455	全新
0906_1316	2419	仲琦
0906_1307	6411	晶焱
0906_1304	2382	廣達
0906_1255	8150	南茂
0906_1255	6712	長聖
0906_1255	5328	華容
0906_1252	6170	統振
0906_1246	6190	萬泰科
0906_1240	5469	瀚宇博
0906_1237	3289	宜特
0906_1234	6203	海韻電
0906_1234	3526	凡甲
0906_1231	6176	瑞儀
0906_1231	2449	京元電子
0906_1228	3264	欣銓
0906_1222	6243	迅杰
0906_1216	8110	華東
0906_1216	1815	富喬
0906_1204	9103	美德醫療-DR
0906_1204	5371	中光電
0906_1158	4944	兆遠
0906_1155	6188	廣明
0906_1149	2485	兆赫
0906_1143	2387	精元
0906_1140	3587	閎康
0906_1140	3078	僑威
0906_1125	8183	精星
0906_1119	6139	亞翔
0906_1113	3450	聯鈞
0906_1113	1591	駿吉-KY
0906_1110	6191	精成科
0906_1101	6197	佳必琪
0906_1101	3228	金麗科
0906_1058	2359	所羅門
0906_1055	3704	合勤控
0906_1055	2316	楠梓電
0906_1049	3362	先進光
0906_1040	3583	辛耘
0906_1034	3044	健鼎
0906_1028	6470	宇智
0906_1028	6209	今國光
0906_1028	3042	晶技
0906_1028	1560	中砂
0906_1025	8064	東捷
0906_1025	6125	廣運
0906_1025	3308	聯德
0906_1025	2355	敬鵬
0906_1022	6274	台燿
0906_1022	3624	光頡
0906_1019	6485	點序
0906_1019	6271	同欣電
0906_1013	3032	偉訓
0906_1013	1618	合機
0906_1010	3169	亞信
0906_1007	3558	神準
0906_1004	3217	優群
0906_1004	3004	豐達科
0906_0958	2363	矽統
0906_0955	8088	品安
0906_0955	4967	十銓
0906_0955	3324	雙鴻
0906_0952	6664	群翊
0906_0952	6167	久正
0906_0952	3306	鼎天
0906_0952	3025	星通
0906_0949	6799	來頡
0906_0949	6672	騰輝電子-KY
0906_0943	8086	宏捷科
0906_0943	3149	正達
0906_0940	3035	智原
0906_0940	2340	台亞
0906_0937	6285	啟碁
0906_0937	4908	前鼎
0906_0937	3479	安勤
0906_0937	3206	志豐
0906_0937	3017	奇鋐
0906_0937	3013	晟銘電
0906_0934	6275	元山
0906_0934	1584	精剛
0906_0931	1471	首利
0906_0928	8210	勤誠
0906_0928	6111	大宇資
0906_0928	5388	中磊
0906_0928	4909	新復興
0906_0928	4906	正文
0906_0928	3548	兆利
0906_0928	2482	連宇
0906_0928	2421	建準
0906_0928	2329	華泰
0906_0922	3596	智易
0906_0922	3051	力特
0906_0922	3046	建碁
0906_0919	9958	世紀鋼
0906_0919	5351	鈺創
0906_0919	3311	閎暉
0906_0919	3088	艾訊
0906_0916	4961	天鈺
0906_0913	8050	廣積
0906_0913	6625	必應
0906_0913	2364	倫飛
0906_0907	6138	茂達
0906_0907	5258	虹堡
0906_0907	3715	定穎投控
0906_0904	3163	波若威
