time	stockId	中文名稱
0907_1328	4973	廣穎
0907_1328	3264	欣銓
0907_1328	2614	東森
0907_1328	4973	廣穎
0907_1328	3264	欣銓
0907_1328	2614	東森
0907_1325	3715	定穎投控
0907_1325	2399	映泰
0907_1325	1471	首利
0907_1322	6811	宏碁資訊
0907_1322	2316	楠梓電
0907_1316	3105	穩懋
0907_1313	6203	海韻電
0907_1313	5225	東科-KY
0907_1310	8147	正淩
0907_1310	8027	鈦昇
0907_1310	6191	精成科
0907_1307	3217	優群
0907_1304	6243	迅杰
0907_1304	4967	十銓
0907_1304	2460	建通
0907_1301	8088	品安
0907_1258	3071	協禧
0907_1258	2337	旺宏
0907_1255	8155	博智
0907_1255	5009	榮剛
0907_1252	8409	商之器
0907_1240	1307	三芳
0907_1234	8222	寶一
0907_1231	5353	台林
0907_1228	6182	合晶
0907_1228	4915	致伸
0907_1219	5425	台半
0907_1219	2485	兆赫
0907_1213	6719	力智
0907_1210	4934	太極
0907_1207	8930	青鋼
0907_1155	6125	廣運
0907_1155	2436	偉詮電
0907_1152	2630	亞航
0907_1149	8081	致新
0907_1149	6235	華孚
0907_1149	6139	亞翔
0907_1149	1568	倉佑
0907_1146	1522	堤維西
0907_1134	3090	日電貿
0907_1122	3317	尼克森
0907_1119	6285	啟碁
0907_1119	6158	禾昌
0907_1119	3338	泰碩
0907_1116	4746	台耀
0907_1107	6170	統振
0907_1107	2816	旺旺保
0907_1058	8054	安國
0907_1055	5284	jpp-KY
0907_1049	1540	喬福
0907_1040	2455	全新
0907_1034	5469	瀚宇博
0907_1034	3689	湧德
0907_1034	3596	智易
0907_1031	5457	宣德
0907_1028	4931	新盛力
0907_1022	6438	迅得
0907_1022	6188	廣明
0907_1022	2390	云辰
0907_1019	6271	同欣電
0907_1019	3013	晟銘電
0907_1016	5258	虹堡
0907_1013	5351	鈺創
0907_1013	3207	耀勝
0907_1013	2404	漢唐
0907_1013	1324	地球
0907_1001	6664	群翊
0907_1001	3169	亞信
0907_0952	6198	瑞築
0907_0949	6449	鈺邦
0907_0949	3588	通嘉
0907_0949	3548	兆利
0907_0946	6143	振曜
0907_0946	3624	光頡
0907_0946	3260	威剛
0907_0940	2376	技嘉
0907_0940	1786	科妍
0907_0937	3006	晶豪科
0907_0934	5488	松普
0907_0931	6414	樺漢
0907_0931	3346	麗清
0907_0931	1618	合機
0907_0928	8261	富鼎
0907_0928	3479	安勤
0907_0928	3014	聯陽
0907_0922	9938	百和
0907_0922	4909	新復興
0907_0922	3680	家登
0907_0922	3209	全科
0907_0919	4977	眾達-KY
0907_0919	4908	前鼎
0907_0916	8050	廣積
0907_0916	3228	金麗科
0907_0913	8086	宏捷科
0907_0913	8068	全達
0907_0913	6485	點序
0907_0913	6114	久威
0907_0913	3704	合勤控
0907_0913	3078	僑威
0907_0913	2486	一詮
0907_0913	1591	駿吉-KY
0907_0910	3567	逸昌
0907_0907	6109	亞元
0907_0904	2488	漢平
0907_0901	9928	中視
0907_0901	8932	宏大
0907_0901	8426	紅木-KY
0907_0901	8112	至上
0907_0901	6799	來頡
0907_0901	6573	虹揚-KY
0907_0901	6530	創威
0907_0901	6426	統新
0907_0901	6282	康舒
0907_0901	6276	安鈦克
0907_0901	6234	高僑
0907_0901	6231	系微
0907_0901	6205	詮欣
0907_0901	6194	育富
0907_0901	6165	浪凡
0907_0901	6164	華興
0907_0901	6147	頎邦
0907_0901	6126	信音
0907_0901	6122	擎邦
0907_0901	6117	迎廣
0907_0901	6104	創惟
0907_0901	5443	均豪
0907_0901	5439	高技
0907_0901	5321	美而快
0907_0901	5302	太欣
0907_0901	5272	笙科
0907_0901	5209	新鼎
0907_0901	4563	百德
0907_0901	4542	科嶠
0907_0901	4533	協易機
0907_0901	4510	高鋒
0907_0901	4147	中裕
0907_0901	4102	永日
0907_0901	3630	新鉅科
0907_0901	3625	西勝
0907_0901	3622	洋華
0907_0901	3615	安可
0907_0901	3591	艾笛森
0907_0901	3581	博磊
0907_0901	3406	玉晶光
0907_0901	3363	上詮
0907_0901	3339	泰谷
0907_0901	3265	台星科
0907_0901	3231	緯創
0907_0901	3189	景碩
0907_0901	3044	健鼎
0907_0901	2634	漢翔
0907_0901	2605	新興
0907_0901	2497	怡利電
0907_0901	2492	華新科
0907_0901	2482	連宇
0907_0901	2421	建準
0907_0901	2413	環科
0907_0901	2387	精元
0907_0901	2368	金像電
0907_0901	2367	燿華
0907_0901	2358	廷鑫
0907_0901	2313	華通
0907_0901	1584	精剛
0907_0901	1519	華城
0907_0901	1477	聚陽
