time	stockId	中文名稱
0914_1304	3622	洋華
0914_1304	3622	洋華
0914_1301	6191	精成科
0914_1301	4561	健椿
0914_1258	3257	虹冠電
0914_1255	4979	華星光
0914_1252	2402	毅嘉
0914_1249	2426	鼎元
0914_1240	4945	陞達科技
0914_1240	2603	長榮
0914_1237	9919	康那香
0914_1234	3058	立德
0914_1225	4147	中裕
0914_1210	5351	鈺創
0914_1210	2449	京元電子
0914_1207	3567	逸昌
0914_1207	3209	全科
0914_1158	3122	笙泉
0914_1155	5289	宜鼎
0914_1149	6125	廣運
0914_1146	2404	漢唐
0914_1146	2332	友訊
0914_1140	8088	品安
0914_1134	3260	威剛
0914_1125	8050	廣積
0914_1119	8086	宏捷科
0914_1119	6245	立端
0914_1119	2331	精英
0914_1113	2401	凌陽
0914_1110	6188	廣明
0914_1110	3645	達邁
0914_1110	2313	華通
0914_1104	6799	來頡
0914_1104	4746	台耀
0914_1104	4173	久裕
0914_1104	2455	全新
0914_1104	1618	合機
0914_1058	2020	美亞
0914_1055	9958	世紀鋼
0914_1055	5388	中磊
0914_1049	3704	合勤控
0914_1049	3217	優群
0914_1043	6285	啟碁
0914_1034	2421	建準
0914_1031	3044	健鼎
0914_1025	6217	中探針
0914_1025	5483	中美晶
0914_1025	5225	東科-KY
0914_1025	3276	宇環
0914_1022	2405	輔信
0914_1019	6485	點序
0914_1019	6231	系微
0914_1019	3685	元創精密
0914_1013	6271	同欣電
0914_1013	3545	敦泰
0914_1010	8081	致新
0914_1007	2376	技嘉
0914_1004	8011	台通
0914_1004	2363	矽統
0914_1001	3317	尼克森
0914_0958	6470	宇智
0914_0958	4967	十銓
0914_0958	3013	晟銘電
0914_0958	2419	仲琦
0914_0955	3162	精確
0914_0952	8155	博智
0914_0952	3596	智易
0914_0952	2743	山富
0914_0949	5465	富驊
0914_0949	3025	星通
0914_0946	4977	眾達-KY
0914_0943	6117	迎廣
0914_0943	4953	緯軟
0914_0943	2388	威盛
0914_0937	8358	金居
0914_0937	8016	矽創
0914_0937	6120	達運
0914_0937	3308	聯德
0914_0937	3051	力特
0914_0934	3617	碩天
0914_0934	3027	盛達
0914_0934	3017	奇鋐
0914_0934	2228	劍麟
0914_0928	8222	寶一
0914_0928	6235	華孚
0914_0928	5474	聰泰
0914_0928	3032	偉訓
0914_0928	3014	聯陽
0914_0928	2731	雄獅
0914_0928	1591	駿吉-KY
0914_0925	1522	堤維西
0914_0922	8112	至上
0914_0922	6530	創威
0914_0922	3709	鑫聯大投控
0914_0922	3338	泰碩
0914_0922	3306	鼎天
0914_0919	8227	巨有科技
0914_0919	6223	旺矽
0914_0919	3483	力致
0914_0919	3081	聯亞
0914_0913	6585	鼎基
0914_0913	6531	愛普*
0914_0913	6274	台燿
0914_0913	4906	正文
0914_0913	4721	美琪瑪
0914_0913	3694	海華
0914_0913	3213	茂訊
0914_0913	3006	晶豪科
0914_0913	2485	兆赫
0914_0913	2436	偉詮電
0914_0907	6715	嘉基
0914_0907	6426	統新
0914_0907	5258	虹堡
0914_0907	3588	通嘉
0914_0907	3324	雙鴻
0914_0907	1568	倉佑
0914_0907	1560	中砂
0914_0907	1339	昭輝
