time	stockId	中文名稱
0908_1325	3483	力致
0908_1325	2363	矽統
0908_1325	1522	堤維西
0908_1316	2605	新興
0908_1304	2645	長榮航太
0908_1231	3044	健鼎
0908_1225	3025	星通
0908_1216	8033	雷虎
0908_1201	3046	建碁
0908_1149	2376	技嘉
0908_1143	9938	百和
0908_1140	8088	品安
0908_1137	3231	緯創
0908_1125	2402	毅嘉
0908_1107	2358	廷鑫
0908_1104	2630	亞航
0908_1104	2388	威盛
0908_1104	1471	首利
0908_1104	1305	華夏
0908_1101	2460	建通
0908_1052	8222	寶一
0908_1052	3014	聯陽
0908_1040	3338	泰碩
0908_1031	6485	點序
0908_1031	5258	虹堡
0908_1031	2634	漢翔
0908_1019	1584	精剛
0908_1013	1319	東陽
0908_1010	3406	玉晶光
0908_1004	8210	勤誠
0908_1001	3088	艾訊
0908_1001	3013	晟銘電
0908_0952	3715	定穎投控
0908_0949	1519	華城
0908_0940	3617	碩天
0908_0937	3363	上詮
0908_0937	3325	旭品
0908_0934	8050	廣積
0908_0931	2453	凌群
0908_0925	3213	茂訊
0908_0919	3051	力特
0908_0919	2364	倫飛
0908_0919	1324	地球
0908_0917	8112	至上
0908_0917	6275	元山
0908_0917	3324	雙鴻
