1218-泰山
2723-美食-KY
6830-汎銓
6593-台灣銘板
3587-閎康
3027-盛達
3022-威強電
4129-聯合
1477-聚陽
6245-立端
4523-永彰
6144-得利影
5704-老爺知
3693-營邦
2748-雲品
3632-研勤
6186-新潤
8472-夠麻吉
6670-復盛應用
2732-六角
2066-世德
2482-連宇
3492-長盛
4979-華星光
6287-元隆
1795-美時
2707-晶華
3523-迎輝
3038-全台
6446-藥華藥
1423-利華
3073-天方能源
2834-臺企銀
2421-建準
6472-保瑞
1442-名軒
5434-崇越
6114-久威
2364-倫飛
6470-宇智
4162-智擎
6697-東捷資訊
6791-虎門科技
3430-奇鈦科
6834-天二科技
8433-弘帆
8940-新天地
8941-關中
