id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,G,131.35,131.3,131.45,6536,15926,13296,9619,9470,10181
0051,G,69.5,69.3,69.55,44,63,86,71,89,66
0052,G,123.05,122.85,123.05,975,787,409,329,318,325
0053,G,68.95,68.75,68.95,3,13,11,9,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,G,23.8,23.77,23.85,125,288,202,162,206,209
0056,G,35.05,34.97,35.07,13003,23775,22400,31390,41839,31312
0057,G,96.1,96.0,96.1,2,7,5,6,8,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,G,17.14,17.05,17.14,130,254,131,128,197,180
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,R,33.85,34.0,34.05,16946,20908,21073,24066,20817,23100
1102,R,41.5,41.7,41.75,3169,5040,4856,4742,5828,5794
1103,R,19.0,19.05,19.05,158,243,206,303,746,662
1104,G,28.2,28.15,28.3,416,689,875,937,1713,1648
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,G,15.0,15.0,15.05,253,444,573,549,1092,1424
1109,R,17.95,18.05,18.15,105,161,123,110,174,190
1110,R,18.8,18.85,18.95,56,89,75,88,210,212
1201,R,19.25,19.3,19.35,286,311,293,285,395,399
1203,R,50.1,50.3,51.6,45,72,42,26,24,28
1210,R,55.0,55.2,55.7,2677,1959,1370,1519,2986,2461
1213,G,6.88,6.85,6.95,34,26,12,22,20,21
1215,R,93.4,94.2,94.6,305,295,256,573,829,1014
1216,R,72.1,72.5,73.6,21887,13563,9616,7716,7605,7680
1217,R,11.85,11.95,11.95,1317,1083,3152,3355,5273,3558
1218,R,21.3,21.55,21.75,1069,936,827,922,1682,2605
1219,G,19.4,19.35,19.45,251,229,243,353,561,976
1220,G,14.15,14.1,14.15,147,120,94,106,183,409
