id,yVolume,ma5,ma20,ma60,ma120,ma240
2455,3498,2486,3228,3560,3107,2825
2456,0,0,0,0,0,0
2457,51047,30481,19600,10762,8492,7790
2458,877,1396,2122,1957,2413,1930
2459,139,101,80,58,61,67
2460,796,298,264,291,495,363
2461,1054,580,409,296,278,450
2462,1147,2052,1533,866,564,1069
2463,0,0,0,0,0,0
2464,343,284,219,371,284,269
2465,472,615,1650,4363,4303,2832
2466,21,17,15,43,57,68
2467,184,314,206,113,142,162
2468,1147,1356,3040,3971,5691,3135
2469,0,0,0,0,0,0
2471,7041,6828,8039,2781,1445,792
2472,1446,909,1430,675,478,431
2473,0,0,0,0,0,0
2474,2383,2581,2506,3385,3241,3079
2475,0,0,0,0,0,0
2476,2461,1394,1265,1087,1438,2022
2477,204,147,184,97,124,249
2478,203,235,293,172,171,183
2479,0,0,0,0,0,0
2480,476,557,416,249,209,269
2481,19405,8987,4734,4356,4147,7791
2482,37234,19676,10452,8106,5162,8037
2483,270,226,315,289,935,817
2484,3008,4729,4682,3020,2811,3403
2485,1034,922,804,995,1083,903
2486,23027,7968,3935,4662,3487,2605
2488,404,507,209,132,188,184
2489,1352,1596,1506,1977,2044,2042
2491,64,48,47,94,106,244
2492,3024,3544,4031,2858,2428,2160
2493,390,319,272,201,157,203
2494,0,0,0,0,0,0
2495,9362,6263,3216,4023,3368,2012
2496,59,34,44,35,27,21
2497,1712,1582,1720,3293,5760,6642
2498,14799,24017,31370,29683,31720,39743
2499,0,0,0,0,0,0
2501,424,401,452,636,622,523
2504,2121,3587,2651,1787,1943,2937
2505,331,279,250,183,165,210
2506,369,705,376,310,293,306
2509,116,74,68,49,47,91
2511,679,517,596,681,633,670
2514,58,92,128,195,149,121
2515,1919,1904,2455,2336,2913,4683
2516,88,102,132,146,150,198
2520,730,539,506,684,888,994
2524,57,652,195,81,60,122
2526,0,0,0,0,0,0
2527,149,150,132,113,138,236
2528,37,69,113,155,218,128
2530,855,499,568,665,1277,983
2534,3307,1682,1391,1320,1108,1272
2535,357,497,340,266,337,458
2536,557,264,187,167,199,222
2537,622,645,730,579,695,1549
2538,777,833,600,494,823,1129
2539,222,188,236,272,317,278
2540,133,113,103,250,342,298
2542,2778,2563,2047,5234,5186,6231
2543,90,64,63,97,116,334
2545,1159,1005,498,284,280,823
2546,89,89,100,104,85,114
2547,470,760,1154,765,753,686
2548,570,512,356,318,353,470
2596,266,352,185,93,70,75
2597,50,85,79,122,98,146
2601,5614,19042,8129,4108,3061,3540
2603,26356,29782,23710,24680,33322,70459
2605,9059,37038,14016,7166,5427,7047
2606,12421,19214,10099,9537,8360,9656
2607,3177,4747,8351,5050,6360,9068
2608,150,192,225,337,331,1007
2609,32890,47797,30606,38579,44679,53584
2610,13494,20346,55055,53758,57227,81399
2611,927,3427,2415,1648,1301,2198
2612,1165,3023,1626,1838,1545,1308
2613,774,1157,682,723,827,1876
2614,1447,1720,2303,6109,4519,4117
2615,8483,13472,12101,18781,18943,19098
2616,186,201,169,223,198,201
2617,9932,6616,2995,1987,1720,2343
2618,17687,25998,49146,47166,57345,97041
2628,0,0,0,0,0,0
2630,1196,890,348,150,107,130
2633,7324,6091,3519,3959,3571,3474
2634,14057,11959,21562,16750,11221,11744
2636,695,1231,780,1380,1401,1955
2637,4910,17197,8745,9847,9718,13220
2640,170,97,209,102,63,51
2641,8035,18513,7673,5293,4250,5012
2642,120,207,157,538,374,1125
2643,74,96,70,56,60,70
2701,544,1574,1435,578,358,228
2702,1357,1374,2226,1102,862,844
2704,506,812,776,345,270,329
2705,895,1478,2867,1165,741,757
2706,570,702,1106,495,409,294
2707,1953,3439,3865,2595,1851,1199
2712,172,407,601,210,110,61
2718,0,12,8,5,5,5
2719,70,103,204,98,51,30
2722,3730,3045,1435,546,349,239
2723,1539,1563,2662,2506,1698,1335
2724,2,5,3,2,2,3
2726,111,119,201,149,92,91
2727,2032,4297,5661,2830,1865,1059
2729,701,607,526,258,178,102
2731,1423,1956,6610,4484,3414,2452
2732,4881,3544,3009,2038,1637,866
2734,563,496,778,411,335,448
2736,3395,3154,4052,2203,2044,3800
2739,1067,1521,1107,447,251,146
2740,1,1,1,2,7,5
2743,768,750,2693,2242,2607,3925
2745,186,493,386,219,220,305
2748,6029,8820,11277,5874,3213,1717
2752,18,38,55,43,38,33
2753,497,831,2109,1590,1270,821
2754,164,187,1649,1161,1049,555
2755,82,233,91,42,30,27
2756,48,48,40,50,38,26
2801,3467,4521,4773,5614,6135,13370
2809,1399,1189,1136,2944,2403,2111
2812,9771,8766,8073,5945,5171,5945
2816,23,30,32,40,50,71
2820,1238,673,542,465,784,852
2823,0,0,0,0,0,0
2827,0,0,0,0,0,0
2832,86,166,138,121,132,169
2833,0,0,0,0,0,0
2834,17738,36891,28893,33799,33084,39135
2836,424,640,487,401,443,875
2837,0,0,0,0,0,0
2838,689,761,915,849,2397,2850
2841,0,0,0,0,0,234
2845,6471,11750,5988,4741,6425,6387
2847,0,0,0,0,0,0
2849,48,72,58,54,60,91
2850,195,176,195,201,405,410
2851,703,1141,1639,2834,1768,1393
2852,300,417,354,293,284,342
2854,0,0,0,0,0,0
2855,841,567,701,671,702,977
2856,0,0,0,0,0,0
2867,13293,12843,14784,14374,13015,10103
2880,5830,8480,7984,9624,10171,11327
2881,11265,10921,11042,13717,14478,18208
2882,13734,17626,18804,27625,27531,25078
2883,27249,26146,24402,26174,30591,42343
2884,22132,22615,34950,25775,26956,27264
2885,11989,15079,12065,18498,18578,21479
2886,12119,16871,15272,15796,17789,19922
2887,7401,11612,11508,14154,16603,22705
2888,17327,22489,21440,24983,27588,49087
2889,10416,4987,4724,7726,6572,5601
2890,15814,14760,15196,26052,25522,23745
2891,53241,31252,25925,34352,36439,41827
2892,7673,20008,18085,17453,16593,17821
2897,3274,5234,4940,3941,3170,6515
2901,14,17,31,25,29,41
2903,1655,2359,1925,1672,1101,818
2904,34,61,96,49,55,53
2905,222,390,505,389,546,455
2906,881,888,1943,1925,1687,4524
2908,245,251,191,128,117,124
2910,10,14,14,18,22,22
2911,856,344,330,508,296,215
2912,1066,1396,1199,1311,1342,1448
2913,1973,2777,1177,1180,1726,1263
2915,1470,2266,2050,4734,5200,5346
2916,258,472,378,305,167,111
2921,0,0,0,0,0,0
2923,20,16,34,21,20,42
2924,2,4,9,9,5,4
2926,244,244,71,44,41,35
2928,0,0,0,0,0,0
2929,1603,1650,2689,5856,3177,2043
2936,0,0,0,0,0,16
2937,21,10,14,14,15,16
2939,197,53,164,214,165,147
2945,23,24,29,20,24,31
2947,24,18,12,7,7,10
3002,307,260,194,147,202,288
3003,488,395,336,348,599,1041
3004,215,517,383,370,371,240
3005,8696,6369,2438,1448,1321,1594
3006,4452,8507,5440,4622,5287,8039
3008,1372,1015,551,592,672,667
3009,0,0,0,0,0,0
3010,201,327,244,200,203,332
3011,1787,1818,2060,1156,976,1892
3013,45430,19464,11012,7759,4094,2771
3014,616,809,1236,956,732,861
3015,300,163,141,91,89,106
3016,1374,1467,789,744,1358,2736
3017,3050,3961,5964,5792,6075,8836
3018,0,0,0,0,28,151
3019,18973,7116,2312,1327,1281,1267
3020,0,0,0,0,0,0
3021,269,316,285,206,285,252
3022,10239,3845,5032,3225,3653,2477
3023,525,515,714,552,623,568
3024,889,1357,1183,791,1031,938
3025,1248,783,724,1468,2309,1363
3026,351,357,251,203,178,254
3027,7205,12794,14085,14965,10404,5443
3028,302,415,325,260,295,524
3029,18739,8052,4572,1654,944,696
3030,493,806,510,440,479,744
3031,214,185,175,129,127,158
3032,259,211,214,104,86,80
3033,2423,2070,1160,901,941,1868
3034,6214,6239,7881,7310,6290,5975
3035,7110,11239,17038,14010,21098,26222
3036,1002,1406,1329,1545,1771,2939
3037,17619,28563,24271,28150,32549,32210
3038,2273,2494,1436,1057,1100,976
3040,66,36,35,22,22,31
3041,585,594,991,1041,969,1522
3042,3854,1845,1303,1214,1306,1748
3043,56,60,78,172,517,579
3044,1660,1123,920,1358,1401,1211
3045,1883,2567,2349,2691,3376,3876
3046,4242,1571,3396,2537,9578,4913
3047,3608,3397,2491,4891,8687,9508
3048,725,944,651,455,459,706
3049,2436,2399,2784,1820,1760,2688
3050,257,601,366,1012,1378,1297
3051,1025,778,712,784,1058,1830
3052,363,728,334,192,160,160
3053,0,0,0,0,0,0
3054,45,21,17,20,39,45
3055,284,480,486,261,173,137
3056,1484,1731,844,657,772,905
3057,173,143,200,180,139,124
3058,1831,1192,1932,755,466,415
3059,4250,2277,2031,2010,3108,3562
3060,198,215,212,190,204,264
3061,0,0,0,0,0,0
