id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,R,131.45,132.55,132.7,29657,21849,14061,9610,9544,10185
0051,R,69.2,69.7,69.75,65,132,88,72,90,65
0052,R,124.0,124.35,124.45,1648,726,367,316,312,322
0053,R,69.1,69.15,69.4,12,22,11,9,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,R,23.69,23.88,23.93,399,393,195,162,208,210
0056,R,35.15,35.3,35.34,50912,28781,24854,31798,42041,31307
0057,R,96.8,96.85,96.85,4,8,6,6,8,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,R,17.22,17.27,17.3,780,228,129,147,201,181
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,R,33.7,34.2,34.2,33522,26393,21221,24003,21246,23150
1102,R,41.4,41.7,41.7,7012,8057,4972,4798,5863,5796
1103,R,19.0,19.1,19.1,290,306,204,312,786,662
1104,R,27.95,28.15,28.2,803,934,844,949,1722,1645
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,R,14.95,15.1,15.15,838,527,579,637,1101,1424
1109,R,18.05,18.1,18.15,301,226,117,109,173,190
1110,R,18.75,18.8,18.8,128,101,77,90,215,212
1201,G,19.3,19.3,19.3,376,385,297,288,397,399
1203,R,49.3,49.5,49.7,88,70,37,24,23,27
1210,R,53.9,54.5,54.7,2388,1769,1218,1496,2979,2445
1213,G,6.93,6.85,7.06,14,18,8,21,20,20
1215,R,93.0,93.3,93.6,398,278,243,581,837,1013
1216,R,71.6,71.9,72.3,15900,9435,8472,7200,7508,7619
1217,G,11.85,11.85,11.9,979,4799,3119,3614,5272,3586
1218,R,21.3,21.45,21.45,907,1394,833,954,1742,2622
1219,R,19.3,19.4,19.4,243,281,270,364,563,978
1220,R,14.05,14.15,14.15,123,134,93,138,184,409
1225,R,54.5,54.9,55.0,30,20,10,24,111,91
1227,R,38.75,38.9,38.9,596,537,372,447,687,723
1229,R,65.8,67.1,67.3,2752,1635,913,855,1197,1184
1231,R,88.6,89.0,89.2,181,133,98,158,223,243
1232,R,143.0,145.5,145.5,47,45,37,38,45,57
1233,R,34.8,34.9,35.0,17,11,10,10,27,24
1234,G,39.15,39.1,39.15,148,185,124,137,301,314
1235,R,84.0,86.0,92.0,27,16,9,6,11,13
1236,R,24.6,24.75,24.8,18,18,29,51,67,128
1240,G,47.1,47.1,47.1,27,111,46,30,29,43
1256,R,241.0,259.0,259.0,27,10,10,8,13,20
1258,G,0.0,0.0,0.0,0,0,0,0,0,54
1259,R,74.8,75.0,75.1,14,20,14,10,12,14
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,R,292.0,292.5,293.0,10,24,13,12,16,17
1268,G,148.0,147.0,148.5,135,161,123,146,241,303
1301,R,81.0,81.9,81.9,8855,8517,5939,6000,7663,6966
1303,R,67.7,69.6,69.6,15131,9713,6532,5619,5574,5844
1304,R,20.0,20.05,20.25,1562,1402,1012,1264,1600,2094
1305,G,23.6,23.4,23.6,913,1855,1429,2300,2387,2903
1307,G,27.05,26.7,27.1,839,922,665,1126,1064,679
1308,R,23.6,23.7,23.95,1078,1028,646,692,944,1363
1309,G,17.3,17.25,17.3,311,448,348,431,549,840
1310,G,16.45,16.45,16.5,1150,1237,876,831,1187,1844
1311,G,0.0,0.0,0.0,0,0,0,0,0,0
1312,R,16.4,16.55,16.6,1502,1600,968,1037,1435,2557
1313,G,16.15,16.0,16.2,1948,2362,1614,1311,2316,1970
1314,G,9.99,9.93,10.05,8514,9021,12508,13849,11434,9957
1315,R,71.3,71.4,71.5,12,23,11,16,20,21
1316,R,11.2,11.25,11.3,1827,2172,1194,2214,1736,1670
1319,G,77.2,76.5,77.8,3022,4115,5246,11703,9147,7247
1321,R,36.0,36.25,36.25,161,128,140,101,105,152
1323,R,31.25,31.3,31.35,50,33,44,43,59,59
1324,G,18.4,18.2,18.5,1131,3005,4653,4045,2059,1048
1325,G,22.75,22.65,22.75,62,82,72,87,131,360
1326,R,64.3,65.0,65.0,5894,5479,3427,3818,3798,3187
1333,G,0.0,0.0,0.0,0,0,0,0,0,0
1336,R,20.6,21.05,21.05,139,82,49,53,115,408
1337,R,7.15,7.17,7.2,288,320,219,267,839,853
1338,G,38.5,38.3,38.7,124,154,70,158,158,138
1339,G,66.7,65.9,67.7,1064,1810,869,1462,807,523
1340,R,11.35,11.55,11.65,117,98,81,85,354,288
1341,G,64.9,63.4,64.9,12,13,14,10,10,13
1342,G,117.0,115.0,118.0,1027,619,475,483,532,2093
1402,R,30.0,30.4,30.45,14475,9908,6863,7186,7101,8189
1408,G,0.0,0.0,0.0,0,0,0,0,0,0
1409,R,15.5,15.6,15.65,2848,1999,1292,1710,1769,2100
1410,G,37.3,37.3,37.35,47,44,40,31,50,85
