id,close,yVolume
1467,11.95,16195
1475,66.2,593
1513,72.7,26212
1584,21.85,3467
1605,47.7,69283
1760,171.5,4764
1783,46.1,3342
1795,240.5,6080
2201,66.2,37694
2230,37.5,4378
2327,496.0,5523
2338,88.0,11795
2359,28.0,10133
2368,87.2,7221
2455,74.4,5119
2458,94.4,7819
2743,59.8,600
3006,71.0,4140
3027,36.75,9051
3034,352.0,10254
3035,151.0,8935
3037,123.0,26542
3081,108.0,923
3094,25.95,1509
3105,155.0,7205
3128,41.05,1601
3141,88.6,11420
3189,106.5,6834
3228,175.0,3861
3265,47.35,1715
3289,75.0,2715
3293,453.0,4522
3454,195.0,4779
3499,18.35,806
3504,84.4,1392
3515,150.0,2222
3530,79.5,1615
3545,63.7,7561
3552,144.5,1682
3558,209.5,1434
3580,62.4,677
3587,160.5,701
3592,346.5,1798
3665,245.0,1620
3675,168.5,488
3680,278.5,1287
3707,88.8,3661
4114,44.8,41696
4133,38.6,730
4536,187.5,1166
4588,41.5,400
4743,241.5,3969
4763,213.0,7622
4924,15.7,3095
4950,21.95,1735
4961,133.0,22680
4966,889.0,1647
4968,127.5,7980
4974,63.1,2172
4977,104.5,4892
5009,35.2,7333
5269,771.0,969
5284,70.2,941
5347,90.8,30670
5425,77.8,6394
5475,12.25,4123
6104,96.7,2978
6109,16.4,3652
6133,23.45,3190
6138,119.0,905
6139,39.85,5257
6143,75.7,3192
6150,73.8,914
6180,73.0,6126
6215,24.2,9163
6220,27.5,3399
6223,118.5,1018
6274,57.6,4985
6414,224.0,1084
6423,89.6,308
6443,34.95,5836
6531,182.0,2886
6532,53.6,941
6533,502.0,3268
6568,161.5,348
6578,16.1,1101
6589,117.0,11568
6648,36.6,1050
6679,243.0,1187
6719,262.5,2217
6742,94.2,625
6885,40.65,993
8016,189.0,2633
8038,42.2,1768
8044,65.1,8955
8046,227.5,10520
8049,30.0,1476
8050,77.6,2081
8069,172.0,22637
8081,152.0,1425
8086,73.1,1966
8105,13.1,5007
8155,111.0,853
8171,57.0,20746
8289,38.0,1183
8299,351.0,4899
8358,57.3,17829
8409,19.6,415
8440,46.5,3524
8906,20.3,847
8996,183.5,15243
9802,140.0,3606
