id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,R,133.65,133.7,134.2,18914,12856,10316,10702,9394,10074
0051,G,72.2,72.05,72.3,61,72,61,71,87,67
0052,G,126.5,125.95,127.0,175,262,405,345,318,326
0053,G,70.5,70.45,70.5,10,11,11,9,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,G,24.15,24.1,24.27,322,345,222,181,206,205
0056,G,36.63,36.36,36.7,29555,36459,24112,32911,40124,31577
0057,G,98.35,98.15,98.45,18,10,8,7,8,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,G,16.17,16.05,16.19,336,359,291,164,216,186
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,G,34.5,34.3,34.55,22372,11764,24738,24716,21914,23153
1102,G,42.35,42.25,42.65,17935,8734,5821,5273,5993,5808
1103,R,19.1,19.15,19.2,187,269,270,240,432,668
1104,R,30.0,30.15,30.35,2385,1854,1023,813,1337,1687
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,R,15.95,16.05,16.05,874,1303,630,534,972,1456
1109,R,18.1,18.15,18.15,229,180,160,126,170,186
1110,R,18.85,18.95,19.1,75,122,98,95,164,210
1201,G,19.25,19.15,19.25,343,282,293,283,371,401
1203,R,52.9,53.4,53.4,44,56,46,33,25,28
1210,G,57.0,57.0,57.1,1667,1731,1841,1495,3033,2527
1213,G,6.85,6.85,6.85,4,10,17,15,18,21
1215,R,95.0,95.4,96.0,492,269,347,374,658,1012
1216,G,74.3,73.7,74.7,12214,7338,15017,10068,8456,7714
1217,R,11.7,11.8,11.85,1219,991,1026,2571,5092,3491
1218,R,21.7,22.0,22.05,1401,662,785,960,1291,2114
1219,R,19.3,19.5,19.5,264,244,314,343,534,952
1220,R,14.55,14.6,14.6,190,443,189,131,179,414
1225,R,54.8,55.2,55.2,19,18,22,20,97,91
1227,R,39.0,39.25,39.5,862,637,560,475,573,736
1229,G,67.8,67.0,67.9,3340,1669,1318,942,1254,1224
1231,G,89.2,89.2,89.2,95,126,122,130,221,237
1232,R,142.5,143.5,143.5,42,39,37,40,42,53
1233,R,34.85,34.95,34.95,12,7,8,9,20,23
1234,G,39.75,39.65,39.75,112,106,123,128,248,303
1235,G,89.2,88.9,89.2,24,19,10,7,12,13
1236,R,23.75,23.9,23.9,21,19,20,25,48,115
1240,G,47.8,47.45,47.8,13,20,23,28,28,43
1256,R,245.5,249.5,249.5,8,10,8,9,12,19
1258,G,0.0,0.0,0.0,0,0,0,0,0,48
1259,R,75.5,76.1,76.1,19,15,14,11,12,15
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,G,290.5,290.5,291.0,17,11,10,12,16,17
1268,G,151.0,150.5,151.5,59,128,101,133,175,285
1301,G,79.9,79.7,80.4,11066,5497,5011,5643,6829,6758
1303,G,68.2,67.3,68.2,12892,6325,7059,6414,5751,5598
1304,R,19.45,20.2,20.2,3023,1873,1211,1221,1598,1939
1305,R,22.9,23.05,23.35,1710,1051,1102,1662,2405,2592
1307,G,26.75,26.7,27.0,270,347,411,621,834,693
1308,R,23.8,24.15,24.3,1474,1156,835,663,908,1219
