id,yVolume,ma5,ma20,ma60,ma120,ma240
0015,0,0,0,0,0,0
0050,9805,6144,8012,11326,12591,12082
0051,74,46,37,34,36,38
0052,601,311,370,343,359,467
0053,8,10,9,9,8,9
0054,0,0,0,0,0,11
0055,208,201,198,228,231,425
0056,24351,23545,21667,19776,33035,27161
0057,3,8,9,11,8,52
0058,0,0,0,0,0,0
0059,0,0,0,0,0,0
0060,0,0,0,0,0,0
0061,221,106,124,178,190,191
0080,0,0,0,0,0,0
0081,0,0,0,0,0,0
1101,12089,32864,21905,25822,29442,23913
1102,4681,5166,4231,7174,7224,6756
1103,662,1155,1273,543,377,379
1104,610,549,667,566,474,524
1107,0,0,0,0,0,0
1108,1849,3442,2918,1107,656,427
1109,112,141,157,139,161,179
1110,78,105,125,111,117,291
1201,919,1063,750,393,373,568
1203,28,30,30,29,26,36
1210,6364,8129,3223,1708,1248,1273
1213,6,12,11,9,16,25
1215,4290,4726,1504,799,551,480
1216,8280,8488,5698,8195,8243,7835
1217,2961,4194,2669,2404,1712,3021
1218,2186,2088,2247,4172,2821,2275
1219,5876,8208,2786,1506,1169,3265
1220,4748,4946,1403,599,399,1704
1225,13,16,30,19,28,75
1227,548,430,457,487,501,667
1229,1105,859,929,885,961,1384
1231,341,296,232,215,209,290
1232,116,62,58,90,73,76
1233,34,34,23,16,11,15
1234,334,464,425,377,254,206
1235,3,3,4,7,13,42
1236,157,153,220,186,161,512
1240,439,629,187,76,56,268
1256,84,61,45,27,21,22
1258,218,880,273,140,324,567
1259,30,59,44,20,17,14
1262,0,0,0,0,0,0
1264,22,21,21,15,13,12
1268,295,649,691,393,213,115
1301,5437,5183,4432,6737,8288,8768
1303,3942,4580,3618,6737,7286,8515
1304,1800,1675,1794,3108,2353,3177
1305,7943,4022,2864,5083,3105,2382
1307,217,114,88,111,133,115
1308,1925,1263,1294,1919,1771,2285
1309,2457,1199,967,1640,1098,891
1310,405,352,399,466,446,626
1311,0,0,0,0,0,0
1312,2315,1622,2115,4584,3498,3818
1313,673,1247,1807,2063,1617,1835
1314,10694,7522,7353,7924,7228,15872
1315,21,11,17,16,27,28
1316,1574,1172,857,828,1182,2091
1319,2274,3077,2520,5431,5663,7116
1321,450,270,219,138,162,189
1323,48,43,53,51,55,69
1324,28,35,27,25,25,48
1325,369,208,271,926,585,724
1326,3665,2716,2117,2631,3104,3907
1333,0,0,0,0,0,0
1336,1211,1185,1372,952,771,552
1337,288,291,421,476,967,647
1338,332,136,102,129,164,249
1339,145,227,161,162,170,295
1340,170,145,208,142,129,116
1341,13,11,15,19,15,13
1342,6709,4678,8840,5110,3302,1757
1402,3779,6804,6322,11996,10467,9088
1408,0,0,0,0,0,0
