id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,R,133.65,133.9,133.9,7067,13567,10220,10711,9394,10050
0051,G,72.0,71.8,72.05,131,87,64,72,87,67
0052,R,125.25,126.1,126.1,154,271,389,344,317,326
0053,R,69.7,70.25,70.25,11,11,10,10,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,R,24.06,24.08,24.1,277,364,221,184,206,206
0056,R,36.35,36.38,36.44,24003,38303,24454,33034,39905,31552
0057,R,97.55,98.05,98.05,10,11,9,7,8,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,G,16.07,16.07,16.17,185,283,297,166,216,185
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,R,34.45,34.55,34.7,7432,11718,24488,24382,21891,22883
1102,G,42.15,42.0,42.55,18480,11763,6457,5531,6121,5721
1103,G,19.1,19.05,19.15,167,209,266,238,421,668
1104,G,30.2,30.2,30.3,1283,1759,1044,823,1335,1689
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,G,16.05,15.9,16.15,825,1412,653,543,963,1459
1109,G,18.15,18.1,18.15,165,173,160,127,171,186
1110,R,18.95,19.05,19.1,61,104,96,95,163,210
1201,G,19.15,19.05,19.15,229,257,286,280,369,401
1203,G,53.5,53.0,53.5,8,54,44,33,25,28
1210,R,57.0,58.4,58.4,4995,2534,2022,1532,3065,2545
1213,R,6.54,6.79,6.79,26,16,18,16,18,21
1215,R,95.4,96.3,96.3,619,365,369,378,651,1011
1216,R,73.5,74.2,74.7,9516,7939,15214,10158,8503,7709
1217,G,11.75,11.7,11.8,1057,1063,1006,2515,5070,3445
1218,G,22.15,22.05,22.4,809,700,775,965,1281,2100
1219,G,19.45,19.45,19.55,361,277,320,347,534,949
1220,G,14.55,14.45,14.55,131,449,193,131,178,414
1225,G,55.4,55.4,55.4,7,18,21,20,97,91
1227,G,39.2,38.85,39.2,609,678,546,480,568,733
1229,G,66.9,66.3,67.0,1100,1538,1308,952,1238,1225
1231,G,89.2,88.6,89.2,111,109,122,127,220,236
1232,G,143.0,143.0,143.5,24,38,37,40,40,52
1233,G,35.3,35.0,35.3,6,6,8,9,19,23
1234,G,39.65,39.45,39.65,71,96,123,126,237,298
1235,G,87.0,87.0,87.0,14,19,10,7,12,13
1236,R,23.85,23.9,23.95,33,23,21,25,48,114
1240,R,47.55,47.65,48.0,42,25,24,28,28,43
1256,R,245.5,246.0,246.0,3,7,8,9,12,19
1258,G,0.0,0.0,0.0,0,0,0,0,0,47
