id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,G,131.6,131.55,131.8,3170,5737,10071,10036,9252,9925
0051,G,71.5,71.3,71.6,80,61,66,71,86,67
0052,R,124.05,124.5,124.5,229,233,403,344,318,324
0053,R,69.4,69.65,69.75,10,11,12,10,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,G,23.77,23.71,23.79,288,153,205,168,199,201
0056,R,35.77,36.06,36.06,60815,27351,21920,32214,39932,31345
0057,G,96.7,96.65,96.85,4,16,8,7,8,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,G,16.27,16.17,16.3,236,343,266,154,212,183
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,G,34.15,34.05,34.2,8906,9071,25545,24710,21871,23153
1102,R,42.15,42.25,42.35,6826,4935,5249,4915,5877,5755
1103,G,19.05,18.95,19.05,172,220,272,258,508,667
1104,G,29.75,29.75,29.8,1418,1472,930,804,1324,1675
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,G,15.95,15.7,15.95,1254,1227,560,511,981,1449
1109,G,18.1,18.0,18.1,97,156,153,121,169,186
1110,G,18.8,18.7,18.9,136,126,98,92,167,212
1201,G,19.2,19.05,19.2,232,307,292,281,372,400
1203,G,51.8,51.5,51.8,11,32,46,30,24,28
1210,G,57.4,56.3,57.5,2243,1599,1803,1488,3022,2515
1213,G,0.0,0.0,0.0,0,11,20,16,19,21
1215,G,94.5,94.0,94.5,295,249,330,390,673,1014
1216,G,74.4,73.2,74.4,5203,5582,14819,9819,8430,7693
1217,G,11.65,11.65,11.7,772,945,1041,2605,5177,3546
1218,G,21.85,21.6,21.85,451,616,802,949,1336,2141
1219,G,19.35,19.25,19.4,238,224,315,342,537,955
1220,R,14.3,14.55,15.05,1169,378,183,128,180,413
1225,R,54.1,54.7,54.7,5,11,19,20,106,91
1227,G,38.75,38.6,38.8,471,511,521,465,579,735
1229,G,67.2,67.0,67.5,1127,1175,1179,897,1238,1210
1231,G,89.2,88.6,89.2,113,121,121,150,221,237
1232,G,143.0,143.0,143.5,25,34,36,39,43,54
1233,R,34.75,34.9,34.9,7,6,8,9,21,23
1234,G,39.45,39.3,39.45,59,83,132,127,263,304
1235,R,85.0,85.3,85.4,11,11,8,6,11,13
1236,G,23.95,23.9,23.95,15,17,20,25,49,116
1240,G,47.2,47.05,47.2,11,17,26,27,28,43
1256,G,246.0,244.0,247.0,17,9,8,9,12,19
1258,G,0.0,0.0,0.0,0,0,0,0,0,48
1259,G,75.8,75.8,76.2,11,18,14,11,12,15
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,G,0.0,0.0,0.0,3,8,11,12,15,17
