id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,R,126.0,126.05,126.05,6681,6638,9248,9362,9761,11166
0051,R,70.25,70.4,70.4,33,74,99,107,78,57
0052,R,116.45,117.25,117.25,193,291,286,308,314,336
0053,G,67.65,67.65,67.65,2,8,9,10,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,R,23.39,23.43,23.43,90,141,246,250,221,226
0056,R,35.12,35.16,35.21,11969,29405,38391,52223,37041,35026
0057,G,92.55,92.4,92.55,4,5,8,10,10,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,R,17.97,18.1,18.2,299,508,378,271,210,199
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,R,35.2,35.4,35.45,22767,15799,18140,17609,21073,25309
1102,R,40.0,40.1,40.1,3228,3968,4973,6908,5625,6441
1103,R,18.5,18.55,18.55,357,396,509,1169,907,641
1104,R,27.7,27.8,27.85,455,941,1085,2482,2549,1514
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,G,15.1,14.9,15.1,1020,1826,1978,1641,2039,1341
1109,G,18.2,18.15,18.25,162,165,304,235,254,208
1110,R,18.85,18.95,18.95,261,177,180,333,325,221
1201,G,19.0,18.95,19.0,245,272,321,495,463,415
1203,R,41.65,41.75,41.75,19,9,16,21,28,27
1210,R,54.5,54.8,55.0,1310,1502,5883,4458,3354,2277
1213,G,6.15,6.15,6.15,1,24,10,19,26,21
1215,G,97.5,96.8,97.5,875,569,817,1088,1380,949
1216,R,71.1,72.4,72.4,6426,4321,6866,7526,7217,7733
1217,G,13.3,13.15,13.3,4268,7017,9852,7250,4270,2983
1218,G,24.55,24.45,24.6,731,1234,1296,2359,2627,2716
1219,G,20.05,20.0,20.2,188,396,439,764,1064,1099
1220,G,14.6,14.5,14.6,176,516,260,260,503,432
1225,G,53.0,52.6,53.0,13,16,89,193,160,94
1227,G,38.35,38.3,38.4,220,385,554,870,982,741
1229,G,60.9,60.6,60.9,535,814,1194,1537,1502,1231
1231,G,85.9,85.9,86.6,225,215,295,291,298,253
1232,G,143.5,143.5,144.0,28,26,32,51,50,62
1233,R,35.5,36.1,36.75,10,6,19,43,35,23
1234,G,38.6,38.5,38.6,88,235,358,472,372,313
1235,G,85.0,85.0,85.0,18,12,37,17,20,17
1236,G,21.8,21.8,21.8,10,205,76,94,141,152
1240,R,46.85,46.95,47.1,40,23,31,27,37,45
1256,G,0.0,0.0,0.0,1,11,19,17,23,22
1258,G,0.0,0.0,0.0,0,0,0,0,37,185
1259,G,74.8,74.5,74.8,7,7,10,13,14,16
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,G,0.0,0.0,0.0,1,6,14,18,21,17
1268,G,145.0,144.0,145.5,55,126,233,327,340,276
1301,R,79.6,80.3,80.4,3287,6364,6981,8737,7559,7930
1303,R,66.1,66.8,67.0,3006,3255,4201,5242,5225,6269
1304,R,20.55,21.0,21.0,773,1022,2154,1933,2002,2174
1305,R,22.8,23.3,23.3,722,1040,3735,2474,2174,2610
1307,R,24.1,24.4,24.4,177,428,497,1007,751,441
1308,R,24.05,24.4,24.4,681,697,1348,1187,1422,1592
1309,R,17.1,17.2,17.2,152,328,808,668,646,864
1310,G,15.45,15.25,15.45,308,726,1450,1437,3043,1745
1311,G,0.0,0.0,0.0,0,0,0,0,0,0
1312,R,16.65,16.8,16.8,520,799,2050,1777,2237,2864
1313,R,15.15,15.2,15.25,759,1339,2904,3338,2251,1935
1314,G,9.33,9.3,9.34,3243,4520,8576,8794,9038,8145
1315,G,72.8,72.7,72.9,42,66,32,26,26,27
1316,G,10.8,10.7,10.85,367,1745,1732,1245,1826,1501
1319,R,61.9,63.9,63.9,9594,5663,7118,6734,5964,5851
1321,R,34.25,34.4,34.4,67,76,75,105,185,175
1323,G,31.75,31.7,31.75,24,22,45,73,70,62
1324,R,11.45,11.6,11.65,20,62,67,73,61,44
1325,G,22.7,22.6,22.75,72,79,105,161,214,407
1326,R,60.9,61.8,61.9,3620,3769,4927,3716,3127,3115
1333,G,0.0,0.0,0.0,0,0,0,0,0,0
