id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,R,127.0,127.35,127.35,6106,5873,5960,8468,9177,10890
0051,R,70.5,71.0,71.0,41,52,64,102,80,59
0052,R,118.0,118.5,118.5,536,264,231,292,294,328
0053,R,68.5,68.65,68.65,4,6,7,9,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,G,23.8,23.8,23.85,199,180,133,229,208,220
0056,R,35.47,35.58,35.64,27244,25490,21234,47650,36321,34769
0057,R,93.4,94.15,94.15,13,6,8,9,8,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,G,17.95,17.85,17.95,306,157,286,270,211,200
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,G,35.3,35.1,35.35,19737,20376,21426,19031,21727,25211
1102,R,40.35,40.45,40.5,6772,4123,4223,6838,5469,6147
1103,R,18.9,19.6,19.6,1015,574,477,759,908,657
1104,G,27.3,26.55,27.4,10449,3102,1413,1844,2559,1581
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,G,15.15,15.0,15.15,312,469,1066,1451,1896,1370
1109,G,18.1,18.1,18.2,32,88,115,217,244,207
1110,G,19.1,19.05,19.1,54,67,94,241,319,219
1201,G,18.9,18.8,18.95,294,260,294,464,438,418
1203,R,41.5,41.55,41.6,4,13,14,19,26,25
1210,R,55.0,55.6,55.6,2324,1761,1803,4556,3319,2353
1213,G,6.73,6.66,6.73,38,30,34,22,28,22
1215,R,97.9,98.2,100.0,1532,2194,954,957,1348,997
1216,R,70.9,71.1,71.1,9385,5302,5715,7041,7184,7684
1217,G,12.65,12.5,12.75,3110,3982,4846,7750,4518,3168
1218,G,24.0,23.65,24.05,644,652,946,1724,2503,2723
1219,G,20.15,20.1,20.15,151,248,394,733,882,1065
1220,G,14.25,14.1,14.25,91,114,214,232,365,426
1225,G,53.0,53.0,53.0,44,43,33,193,159,95
1227,R,38.05,38.1,38.1,419,351,454,694,940,744
1229,R,62.4,63.0,63.0,3174,1337,944,1579,1472,1229
1231,R,87.2,87.5,87.5,131,124,191,292,284,251
1232,G,143.5,143.5,144.0,39,35,33,46,48,59
1233,R,35.75,35.8,35.8,2,13,11,33,35,23
1234,G,38.6,38.55,38.75,97,139,184,400,355,311
1235,G,0.0,0.0,0.0,0,2,7,17,19,16
1236,G,21.5,21.45,21.5,12,188,109,73,134,149
1240,G,47.75,47.4,47.75,17,22,32,29,30,44
1256,G,272.0,271.0,272.0,9,4,9,15,17,21
1258,G,0.0,0.0,0.0,0,0,0,0,25,138
1259,G,75.0,75.0,75.0,12,11,10,13,13,15
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,G,285.5,284.5,285.5,27,14,10,19,20,17
1268,G,152.0,151.0,152.5,98,163,140,226,317,282
1301,R,83.2,83.3,83.3,11834,7120,6592,8228,7661,7478
1303,G,69.2,69.2,69.4,10996,5058,4179,5210,5139,6172
1304,G,21.9,21.8,21.9,1693,1671,1352,1992,1762,2183
1305,G,26.45,26.0,26.55,3058,5119,2890,3070,2160,2762
1307,G,27.35,27.3,27.5,1069,2618,1836,1052,1019,568
1308,G,26.0,25.75,26.0,450,794,915,1153,1396,1526
1309,G,18.4,18.1,18.5,438,506,471,666,585,863
1310,G,16.4,16.25,16.6,1096,1237,892,1197,3094,1779
1311,G,0.0,0.0,0.0,0,0,0,0,0,0
1312,G,17.6,17.25,17.6,1911,1589,1232,1761,2156,2820
1313,G,15.65,15.65,15.65,2496,1340,1447,3427,2248,1973
1314,G,9.85,9.73,9.92,13481,10895,7027,8529,8922,8174
1315,R,71.5,71.6,71.6,6,13,36,27,27,27
1316,R,10.75,10.8,11.0,8042,4976,2712,1689,1629,1615
1319,G,75.6,74.1,75.6,17367,31926,15420,9752,7698,6541
1321,R,35.75,35.95,36.0,131,84,100,103,166,163
1323,R,31.6,31.75,31.75,43,45,44,59,71,62
1324,G,13.0,12.35,13.05,1445,2025,965,366,213,120
1325,G,22.5,22.5,22.6,53,70,90,136,198,386
1326,G,66.0,65.8,66.1,8084,4641,4257,4072,3240,3171
1333,G,0.0,0.0,0.0,0,0,0,0,0,0
1336,G,21.9,21.85,21.9,19,33,54,146,224,503
1337,G,7.61,7.51,7.61,256,392,356,1097,1332,1082
1338,G,37.8,37.4,38.5,82,233,302,219,162,155
1339,G,59.6,56.0,59.6,4853,3362,1084,453,318,278
1340,R,11.6,11.65,11.65,50,103,90,265,459,295
1341,G,67.6,67.1,67.6,2,2,9,11,9,13
1342,G,116.0,113.0,116.0,219,281,332,529,1212,2286
1402,G,29.25,29.1,29.3,67463,18777,9025,7683,6817,8709
1408,G,0.0,0.0,0.0,0,0,0,0,0,0
1409,G,15.2,15.2,15.25,2576,1553,2448,1722,2068,2188
1410,G,37.6,37.45,37.9,21,20,29,53,53,267
1413,R,8.23,8.27,8.27,33,42,60,58,53,69
1414,R,17.65,17.75,17.75,33,115,125,148,138,167
1416,G,10.35,10.25,10.35,162,84,134,228,458,341
1417,G,13.35,13.2,13.4,269,195,480,525,803,2760
1418,G,23.8,23.6,23.85,16,26,22,48,54,37
1419,G,43.25,42.9,43.25,26,41,55,85,123,93
1423,R,23.7,23.75,23.75,37,34,27,142,202,173
1432,G,16.9,16.85,16.95,101,222,160,432,748,854
1434,G,25.8,25.8,25.95,1754,936,981,1301,1132,1093
1435,G,31.75,31.75,31.75,37,31,8,3,7,5
1436,G,65.3,65.0,65.4,12,41,245,130,116,78
1437,R,28.5,28.7,28.7,207,122,127,178,320,414
1438,G,29.6,29.5,29.7,25,68,64,72,117,114
1439,R,22.9,23.1,23.1,4,11,45,37,41,90
1440,G,14.95,14.8,15.0,614,486,532,818,849,998
1441,G,13.0,13.0,13.3,37,48,71,92,79,63
1442,R,34.45,34.55,34.7,186,214,374,841,862,1058
1443,G,28.6,28.35,28.6,11,93,48,36,47,183
1444,R,10.65,10.7,10.7,1373,1307,2751,2757,2834,2934
1445,R,20.35,20.4,20.6,149,200,487,279,331,257
1446,G,39.2,39.2,39.5,279,201,159,302,197,158
1447,R,7.53,7.55,7.56,409,535,543,858,921,1043
1449,R,20.1,20.2,20.5,185,331,446,365,352,505
1451,G,19.0,18.95,19.05,98,124,96,177,270,343
1452,R,16.5,16.55,16.55,49,67,57,81,84,83
1453,G,13.05,13.0,13.05,39,55,68,228,274,452
1454,G,17.85,17.85,17.85,11,31,156,156,153,115
1455,G,9.87,9.84,9.98,702,399,368,448,503,610
1456,G,16.45,16.45,16.45,17,30,33,50,76,67
1457,G,17.8,17.55,17.8,63,73,118,134,176,233
1459,G,9.74,9.71,9.74,63,63,75,117,99,85
1460,G,7.89,7.84,7.9,344,359,538,1433,2001,1283
1462,G,0.0,0.0,0.0,0,0,0,0,0,0
1463,R,15.75,15.8,15.8,27,280,313,217,167,143
1464,R,13.85,13.95,13.95,93,89,253,271,310,270
1465,G,13.15,13.1,13.15,32,29,51,56,69,71
1466,R,11.1,11.2,11.2,82,41,51,57,49,61
1467,G,11.45,11.45,11.55,133,383,933,2788,1882,2530
1468,R,13.25,13.3,13.3,35,35,37,38,43,53
1469,G,0.0,0.0,0.0,0,0,0,0,0,0
1470,G,19.1,19.05,19.1,7,27,22,20,43,42
1471,G,20.2,19.8,20.4,6104,14119,14121,9775,6228,3308
1472,G,43.8,43.3,44.7,71,83,44,174,137,74
1473,G,26.4,26.3,26.4,72,509,360,213,217,257
1474,G,11.5,11.5,11.6,50,71,109,123,167,178
1475,G,53.5,53.5,53.7,41,35,38,58,66,111
1476,G,512.0,509.0,514.0,1150,597,663,780,719,790
1477,G,334.5,332.5,341.5,2779,2414,3367,4464,3420,2656
1503,G,118.5,114.5,118.5,9867,3720,3280,6191,10426,6207
1504,R,49.15,49.85,49.85,11762,7594,8328,19582,27727,17462
1506,G,17.05,16.95,17.05,190,100,81,167,246,405
1507,G,0.0,0.0,0.0,0,0,0,0,0,0
1512,G,12.3,12.2,12.35,14,21,26,42,60,203
1513,G,104.5,103.5,105.0,6118,7410,9643,22070,25195,23373
1514,R,48.8,50.0,50.0,2927,1696,2231,8855,12216,8429
1515,G,46.4,44.75,46.4,4951,12612,3678,2351,1569,1098
1516,R,17.3,17.35,17.5,22,30,43,115,186,273
1517,G,15.4,15.2,15.4,301,512,345,359,368,813
1519,G,262.0,257.5,263.5,9621,9074,12208,8995,15663,12338
1520,G,0.0,0.0,0.0,0,0,0,0,0,0
1521,G,38.8,38.25,39.3,243,819,220,109,100,62
1522,R,43.65,43.75,44.0,38556,57104,17827,9157,7050,5229
1523,G,0.0,0.0,0.0,0,0,0,0,0,0
1524,G,26.25,25.35,26.35,11268,31928,9600,3987,3850,5656
1525,G,80.2,80.0,80.8,103,312,197,418,599,321
1526,G,35.25,34.95,35.25,68,73,73,127,165,283
1527,G,40.2,39.9,40.2,110,122,267,263,246,252
1528,G,12.5,12.2,12.5,1354,1842,1252,5336,4796,2670
1529,G,31.4,31.1,31.4,1076,1101,1481,4299,6995,6190
1530,G,30.05,30.0,30.25,66,33,27,37,37,39
1531,G,13.4,13.4,13.4,74,83,99,98,105,102
1532,G,37.25,36.55,37.25,1272,1075,1136,1366,1040,765
1533,G,58.1,57.7,58.1,386,1476,652,1646,1698,1014
1535,G,54.5,53.9,54.6,93,88,99,270,254,203
