id,yVolume,ma5,ma20,ma60
0015,0,0,0,0
0050,6903,23302,15231,13537
0051,29,45,28,38
0052,457,490,362,333
0053,25,13,10,8
0054,0,0,0,0
0055,374,370,242,248
0056,16136,21703,17311,21166
0057,6,28,19,10
0058,0,0,0,0
0059,0,0,0,0
0060,0,0,0,0
0061,195,343,209,217
0080,0,0,0,0
0081,0,0,0,0
1101,15215,27022,19631,28643
1102,3226,5994,4388,7258
1103,150,206,163,191
1104,638,688,502,452
1107,0,0,0,0
1108,1537,412,225,217
1109,83,112,79,118
1110,46,85,102,98
1201,263,238,192,234
1203,67,48,30,24
1210,1919,1395,1172,867
1213,2,8,7,11
1215,467,412,448,372
1216,5707,10110,7192,9444
1217,946,1040,1783,2019
1218,1624,2399,2396,4223
1219,572,2253,995,836
1220,255,206,253,175
1225,4,9,10,22
1227,1031,952,554,441
1229,900,1203,983,822
1231,213,360,232,184
1232,53,59,94,87
1233,11,8,10,10
1234,465,499,402,284
1235,10,6,5,11
1236,157,133,154,153
1240,25,16,13,25
1256,10,21,12,16
1258,15,27,77,190
1259,2,8,9,9
1262,0,0,0,0
1264,20,23,14,11
1268,257,119,158,169
1301,7125,8764,5853,7306
1303,4657,7322,5137,8346
1304,2287,3454,3039,2936
1305,6710,4903,5974,4488
1307,85,85,67,122
1308,1901,2090,1666,1787
1309,3312,1552,1131,1488
1310,1162,483,393,436
1311,0,0,0,0
1312,2962,4112,3174,4816
1313,5660,3665,1943,1821
1314,10317,7464,5595,7372
1315,26,11,13,38
1316,2322,913,654,913
1319,4050,4465,4825,6562
1321,124,103,92,93
1323,179,56,49,46
1324,26,24,22,21
1325,264,330,1112,899
1326,2176,4815,2820,3118
1333,0,0,0,0
1336,1881,2377,782,805
1337,354,339,347,727
1338,406,204,124,145
1339,161,122,116,170
1340,139,101,117,123
1341,30,20,18,19
1342,3709,1801,3162,2504
1402,6608,8789,6381,13231
1408,0,0,0,0
1409,3668,1904,1436,2535
1410,54,76,80,446
1413,145,75,38,79
1414,196,208,274,232
1416,59,81,203,142
1417,11008,3330,9972,7816
1418,8,8,14,15
1419,37,29,34,68
1423,66,109,80,209
1432,449,549,338,312
1434,948,1012,859,942
1435,0,0,0,0
1436,32,20,32,37
1437,133,77,249,237
1438,121,55,45,46
1439,39,414,170,144
1440,1272,1011,719,1020
1441,38,48,39,37
1442,1168,1154,1254,1349
1443,3847,2229,869,339
1444,1598,1226,3629,2901
1445,539,937,682,252
1446,70,47,60,71
1447,991,882,739,876
1449,118,116,305,423
1451,278,261,261,384
1452,106,70,62,72
1453,4198,1092,405,607
1454,65,57,66,85
1455,787,592,490,663
1456,9,15,33,47
1457,265,274,190,247
1459,145,59,44,59
1460,761,534,343,516
1462,0,0,0,0
1463,84,263,234,131
1464,175,148,161,176
1465,107,51,57,67
1466,91,74,56,80
1467,1594,3357,4007,3785
1468,50,166,107,65
1469,0,0,0,0
1470,37,16,28,30
1471,857,310,187,354
1472,19,8,12,9
1473,45,267,121,171
1474,127,100,67,120
1475,175,145,178,189
1476,934,1291,919,785
1477,4112,3407,1886,1896
1503,822,688,1082,503
1504,5633,4170,3035,3464
1506,905,402,298,338
1507,0,0,0,0
1512,359,362,324,372
1513,30906,29027,26493,22660
1514,6079,6595,4759,3453
1515,594,421,520,647
1516,93,176,326,214
1517,384,380,389,1135
1519,11885,10857,13954,7562
1520,0,0,0,0
1521,13,15,15,18
1522,2479,1444,2957,3590
1523,0,0,0,0
1524,14933,5349,5219,6974
1525,25,40,27,35
1526,134,131,163,390
1527,471,241,148,165
1528,293,252,282,388
1529,4444,7368,8732,4529
1530,26,37,23,34
1531,157,77,58,80
1532,449,479,269,252
1533,405,199,143,246
1535,172,149,94,77
1536,1841,1682,1723,1932
1537,63,58,42,69
1538,2,3,8,13
1539,398,316,330,1589
1540,95,86,71,141
1541,25,11,10,24
1558,42,35,52,93
1560,4921,4998,5117,6850
1565,282,180,110,207
1566,0,0,0,0
1568,1994,514,300,577
1569,404,187,165,267
1570,350,99,95,59
1580,63,126,118,94
1582,234,125,85,112
1583,11,8,5,6
1584,24291,10478,9815,12335
1586,35,66,67,116
1587,80,50,64,74
1589,2784,808,574,332
1590,915,1094,711,670
1591,801,456,288,458
1592,0,0,0,0
1593,23,19,22,42
1595,43,30,21,34
1597,57,70,43,75
1598,152,146,172,294
1599,89,49,48,60
1601,0,0,0,0
1603,441,325,260,348
1604,168,165,235,266
1605,94231,88810,71477,84475
1606,0,0,0,0
1608,4952,4399,2099,1676
1609,47864,17914,8639,6429
1611,844,777,581,776
1612,3844,5104,2798,1643
1613,0,0,0,0
1614,10,130,48,49
1615,118,112,86,49
1616,274,183,97,126
1617,28,15,42,31
1618,991,859,1150,999
1626,104,100,62,86
1701,14789,9009,12784,9677
1702,319,176,166,344
1704,0,0,0,0
1707,1171,1192,1036,911
1708,3317,2508,1899,2953
1709,1523,662,443,708
1710,731,973,1662,1248
1711,936,832,1070,1585
1712,1386,1356,973,1664
1713,21,39,88,66
1714,950,796,1267,1255
1715,0,0,0,0
1716,0,0,0,0
1717,983,1479,1194,1528
1718,2385,2751,5310,4348
1720,930,975,5737,4313
1721,1422,792,647,1437
1722,2198,1862,1407,1411
1723,166,201,152,215
1724,0,0,0,0
1725,54,29,19,48
1726,12,11,20,17
1727,421,306,234,552
1729,0,0,0,0
1730,11,17,13,30
1731,138,145,253,386
1732,247,305,732,787
1733,142,150,250,302
1734,1465,1754,4260,4219
1735,3,11,7,7
1736,2419,2106,2294,3068
1737,136,140,98,116
1742,51,52,38,36
1752,3192,4970,20150,10811
1760,2797,4251,11524,14492
1762,460,446,2273,1635
1773,1559,624,251,308
1776,27,13,10,16
1777,65,55,173,211
1781,42,47,126,169
1783,1738,2768,3915,1790
1784,249,145,349,357
1785,3355,1700,1041,1851
1786,443,305,1242,594
1787,0,0,0,0
1788,23,21,17,17
1789,1194,1132,1878,1848
1795,5486,9801,11657,14949
1796,525,183,109,118
1799,20,19,12,12
1802,4040,6479,6517,13542
1805,11,32,34,22
1806,171,161,211,534
1807,0,0,0,0
1808,294,286,390,291
1809,9710,4981,2170,1429
1810,19608,6750,7829,12118
1813,57,202,90,97
1815,1355,1777,1336,1848
1817,295,252,126,103
1902,0,0,0,0
1903,100,136,85,80
1904,1554,1074,790,771
1905,1247,717,628,773
1906,155,905,334,412
1907,1456,1368,1082,2294
1909,6956,8617,7921,4461
2002,21027,28555,25047,35071
2006,2041,1915,1271,1627
2007,4024,2457,3435,2402
2008,14,42,37,34
2009,54508,18572,8538,7594
2010,751,715,443,528
2012,132,89,93,118
2013,313,223,157,225
2014,21861,21130,20275,22405
2015,324,314,180,251
2017,3057,1449,921,743
2020,222,280,166,214
2022,903,644,566,867
2023,10285,6983,4326,4933
2024,92,71,41,46
2025,204,158,226,244
2027,18329,11583,8596,14795
2028,2640,2539,2001,1682
2029,641,677,469,468
2030,6799,2629,1662,2349
2031,4046,3639,2568,2482
2032,2058,1316,1092,1250
2033,860,1107,1016,691
2034,2938,2292,1412,2145
2035,33,37,27,19
2038,3755,3134,2212,2116
2049,4119,5463,2074,1473
2059,705,476,273,365
2061,20,127,70,111
2062,434,259,253,270
2063,130,114,226,164
2064,53,32,41,42
2065,212,139,101,84
2066,334,181,129,222
2067,26,35,31,30
2069,920,568,753,697
2070,29,63,61,112
2101,305,481,466,562
2102,160,221,323,594
2103,990,941,762,875
2104,2756,1690,1105,1640
2105,2636,3788,2474,2684
2106,564,469,324,448
2107,259,286,203,220
2108,807,948,785,967
2109,118,109,138,97
2114,52,22,17,20
2115,8,16,20,32
2201,40953,48300,28068,31974
2204,2571,5102,2326,2896
2206,1873,2140,1542,3063
2207,733,548,269,256
2208,3798,2646,2031,4288
2211,309,212,2647,2328
2221,272,100,69,124
2227,20,35,30,42
2228,200,124,139,235
2230,8452,3815,2981,1660
2231,1718,625,492,789
2233,151,89,101,120
2235,16,11,9,17
2236,583,1326,1010,580
2239,121,76,64,98
2241,43,54,32,37
2243,154,355,700,317
2247,53,38,35,50
2250,29,18,12,33
2301,4471,6993,4977,8348
2302,1528,956,493,830
2303,115134,142091,72913,70023
2305,558,436,575,4543
2308,6990,9179,6045,6113
2311,0,0,0,0
2312,3797,3934,3129,7190
2313,15433,12145,10229,12938
2314,842,648,521,1072
2315,0,0,0,0
2316,137,103,71,137
2317,40083,54578,32621,39642
2321,19,24,20,20
2323,6818,4688,2588,3617
2324,9736,13731,9706,13065
2325,0,0,0,0
2326,0,0,0,0
2327,2870,3791,3138,3598
2328,5200,3699,2635,4810
2329,6149,2621,1553,2607
2330,42540,67678,37934,40521
2331,946,1019,878,1707
2332,1696,1715,2829,2420
2336,0,0,0,0
2337,5682,7008,6188,11283
2338,6362,8588,9185,10572
2340,3963,2443,1252,2702
2341,0,0,0,0
2342,1976,1005,745,1717
2344,35158,19719,13007,14492
2345,4523,3898,2977,2652
2347,3841,4315,3133,5002
2348,24,70,56,99
2349,1617,1703,1019,1164
2350,0,0,0,0
2351,16059,5575,2138,2156
2352,3571,4210,3472,4655
2353,10700,10724,6873,9720
2354,5272,6591,3503,3338
2355,630,530,363,887
2356,6732,8579,6319,10549
2357,1156,2243,1451,2751
2358,8463,7474,6363,4102
2359,1660,1481,2858,2849
2360,1312,1322,955,1201
2361,0,0,0,0
2362,167,237,140,153
2363,1866,1770,2058,2276
2364,823,439,421,2386
2365,157,1060,401,296
2367,4124,3123,3159,9098
2368,12199,7170,6232,8167
2369,3720,1334,645,903
2371,4708,4127,4705,8099
2373,117,122,100,78
2374,325,320,368,619
2375,1795,666,435,438
2376,8284,8625,6356,9651
2377,4123,3914,2401,4107
2379,4019,3333,2800,4308
2380,1662,1196,865,1119
2381,0,0,0,0
2382,4129,7151,5825,8382
2383,5251,3750,2009,3318
2384,0,0,0,0
2385,1351,1304,1118,1684
2387,389,250,296,626
2388,5917,4990,7136,19033
2390,588,491,716,1113
2391,0,0,0,0
2392,1326,1298,754,1609
2393,1223,720,468,931
2395,763,1169,660,884
2396,0,0,0,0
2397,39,45,91,47
2399,1522,2463,1956,3290
2401,2147,1392,1123,1575
2402,1215,1279,1629,4906
2403,0,0,0,0
2404,1916,1395,1047,848
2405,1272,965,773,1841
2406,2255,2165,1276,2285
2408,7907,12704,8481,9911
2409,36370,41691,32511,41907
2410,0,0,0,0
2411,0,0,0,0
2412,16944,16772,8797,8878
2413,5428,1664,1541,3937
2414,116,85,55,94
2415,400,452,181,143
2417,274,276,280,789
2418,0,0,0,0
2419,1786,1394,3609,3466
2420,153,88,74,93
2421,1557,863,940,2178
2423,205,126,138,139
2424,28,26,80,60
2425,1444,1020,1955,1736
2426,325,274,278,333
2427,136,122,126,237
2428,664,1181,1230,597
2429,23,22,18,21
2430,170,113,137,98
2431,65,162,185,148
2432,0,0,0,0
2433,23,21,15,18
2434,21,44,41,38
2436,1953,2534,1606,2620
2437,0,0,0,0
2438,18,318,221,95
2439,662,566,405,1001
2440,117,70,66,116
2441,4656,2104,1403,2276
2442,176,350,367,605
2443,436,156,86,102
2444,2148,2857,2735,2903
2446,0,0,0,0
2447,0,0,0,0
2448,0,0,0,0
2449,5846,4931,3140,4726
2450,84,69,68,68
2451,319,356,244,311
2452,0,0,0,0
2453,288,131,101,79
2454,5816,9591,6383,7115
2455,7422,5552,4764,3902
2456,0,0,0,0
2457,4314,2377,2650,6553
2458,3424,1953,1856,2175
2459,55,52,47,54
2460,324,247,292,696
2461,522,546,230,245
2462,237,450,480,468
2463,0,0,0,0
2464,129,167,136,350
2465,4231,7420,5589,6327
2466,17,42,55,65
2467,90,68,53,77
2468,7958,3629,3666,6783
2469,0,0,0,0
2471,153,168,203,163
2472,1048,424,332,296
2473,0,0,0,0
2474,6282,2992,1810,3802
2475,0,0,0,0
2476,1141,872,498,1168
2477,44,44,45,104
2478,447,171,87,117
2479,0,0,0,0
2480,117,151,202,142
2481,7318,4531,2583,3651
2482,25817,15030,6315,4645
2483,517,203,142,317
2484,2512,1138,805,2112
2485,764,556,602,923
2486,3399,1831,1889,4581
2488,86,65,70,174
2489,1616,1254,1016,2502
2491,32,66,118,134
2492,12950,4228,1904,2037
2493,364,241,180,135
2494,0,0,0,0
2495,1082,1451,3142,4785
2496,30,13,8,18
2497,2204,1914,1330,4448
2498,18269,16987,19368,24204
2499,0,0,0,0
2501,306,394,609,723
2504,1406,1383,1114,1528
2505,313,222,152,149
2506,177,269,288,280
2509,78,51,35,37
2511,550,588,874,618
2514,161,139,127,179
2515,3810,2123,1698,2155
2516,49,111,146,159
2520,554,632,593,810
2524,19,18,23,25
2526,0,0,0,0
2527,119,128,90,99
2528,41,252,191,311
2530,588,574,447,1048
2534,1056,610,1032,1121
2535,343,272,215,249
2536,189,202,99,132
2537,741,388,403,572
2538,996,465,598,468
2539,150,329,191,323
2540,226,870,368,340
2542,2997,3889,3346,6139
2543,61,72,88,95
2545,165,259,157,191
2546,227,136,123,91
2547,174,259,317,504
2548,462,447,309,328
2596,64,71,49,44
2597,30,68,103,128
2601,1381,1475,1439,1926
2603,14304,16712,20303,28792
2605,3598,2638,2861,3695
2606,6331,4985,5016,8819
2607,3409,2664,2740,3558
2608,238,241,390,332
2609,18534,25095,28827,42077
2610,71535,37914,36080,48491
2611,708,484,619,1105
2612,580,504,2558,1454
2613,325,340,474,727
2614,13327,6134,6064,6833
2615,10199,12391,20063,20299
2616,599,618,300,248
2617,1102,962,1054,1346
2618,108729,50587,36722,44758
2628,0,0,0,0
2630,57,41,31,55
2633,4916,5377,3539,3704
2634,8556,5646,8443,11914
2636,677,699,1136,1717
2637,4351,3581,5377,9580
2640,25,50,47,47
2641,1499,1116,3061,3909
2642,233,313,756,572
2643,27,29,35,62
2701,84,195,113,159
2702,194,250,384,617
2704,109,79,158,138
2705,351,322,225,248
2706,231,182,156,179
2707,1757,1376,1902,1530
2712,6,9,12,12
2718,13,9,5,4
2719,17,11,18,31
2722,87,35,76,97
2723,3525,1626,2585,1901
2724,3,2,1,1
2726,81,50,125,87
2727,6306,2398,1416,1128
2729,327,194,142,96
2731,1653,1074,1989,2534
2732,2574,2943,2105,1292
2734,234,153,196,196
2736,850,621,1137,1104
2739,79,76,99,88
2740,0,0,1,2
2743,1117,691,1586,1684
2745,153,67,93,111
2748,3393,4450,4804,2090
2752,79,63,51,32
2753,665,953,1351,1223
2754,1040,824,784,1001
2755,38,21,15,15
2756,49,32,41,47
2801,5415,8218,4953,6229
2809,957,2216,1738,3314
2812,5252,7458,4894,4056
2816,29,61,35,55
2820,369,521,367,446
2823,0,0,0,0
2827,0,0,0,0
2832,95,123,98,119
2833,0,0,0,0
2834,13901,23051,18308,35038
2836,345,496,390,338
2837,0,0,0,0
2838,1181,997,640,1053
2841,0,0,0,0
2845,4604,4935,3858,4013
2847,0,0,0,0
2849,48,43,46,48
2850,178,190,158,270
2851,3470,3240,5886,2648
2852,325,293,258,235
2854,0,0,0,0
2855,705,651,470,624
2856,0,0,0,0
2867,10768,10624,8986,16142
2880,7450,17627,11049,10119
2881,21173,23031,12751,14596
2882,30294,33187,30509,28518
2883,42897,42208,22544,30188
2884,22918,36730,20396,22552
2885,14159,26611,14995,21052
2886,16883,22515,14182,17111
2887,14957,26129,14646,15561
2888,28929,34907,24492,26543
2889,7047,10046,8078,8802
2890,24565,31133,18406,28930
2891,38764,45006,27305,37195
2892,22462,32402,18081,15796
2897,3976,5209,4104,2495
2901,17,12,10,20
2903,1046,1525,1576,1164
2904,38,36,23,30
2905,288,235,187,344
2906,3802,1169,1087,1816
2908,141,124,101,92
2910,11,14,18,22
2911,507,400,322,424
2912,1067,2514,1374,1321
2913,569,734,625,1916
2915,2586,3566,2877,5976
2916,571,336,476,178
2921,0,0,0,0
2923,9,8,14,12
2924,17,11,13,7
2926,12,10,19,26
2928,0,0,0,0
2929,26907,10228,6810,4789
2936,0,0,0,0
2937,8,21,15,14
2939,59,99,63,244
2945,12,6,7,18
2947,1,3,4,4
3002,102,59,81,184
3003,469,412,283,451
3004,280,220,500,308
3005,1098,1089,718,991
3006,8384,5410,3795,5510
3008,877,764,605,683
3009,0,0,0,0
3010,281,253,168,165
3011,460,401,630,656
3013,5152,5899,4348,3928
3014,1651,921,827,772
3015,117,61,69,72
3016,877,647,513,943
3017,10937,4732,2643,5675
3018,0,0,0,13
3019,2485,901,560,991
3020,0,0,0,0
3021,99,59,87,160
3022,1092,1343,1319,2769
3023,462,524,377,454
3024,268,349,395,1052
3025,309,241,338,1791
3026,637,239,153,160
3027,14320,15450,12135,12480
3028,192,254,272,222
3029,464,274,193,183
3030,513,340,278,410
3031,132,113,77,118
3032,18,31,36,62
3033,1337,1054,634,817
3034,8213,6595,7354,6764
3035,18171,9841,10640,15427
3036,1157,1431,897,1627
3037,35752,29639,22633,34594
3038,567,439,475,1088
3040,12,19,14,13
3041,534,593,535,743
3042,2689,1579,1079,1049
3043,55,54,65,339
3044,1575,1671,1271,1361
3045,2314,4475,2779,3030
3046,1132,771,1194,6307
3047,2226,1949,2716,7154
3048,469,424,284,377
3049,1587,1186,938,1331
3050,520,758,909,1370
3051,651,470,413,843
3052,91,98,87,124
3053,0,0,0,0
3054,3,10,23,18
3055,1055,559,201,109
3056,639,519,519,805
3057,873,238,130,130
3058,179,153,136,173
3059,1637,1516,1104,3195
3060,304,170,125,172
3061,0,0,0,0
3062,3164,1912,1678,4649
3063,0,0,0,0
3064,17,30,27,11
3066,50,63,152,149
3067,2,1,2,2
3068,0,0,0,0
3069,0,0,0,0
3071,85,82,78,179
3073,3,7,12,14
3078,403,314,244,329
3079,0,0,0,0
3080,0,0,0,0
3081,4713,2922,1795,4119
3083,531,475,1916,1007
3085,129,44,19,17
3086,31,23,62,93
3087,0,0,0,0
3088,296,220,313,260
3089,96,62,101,150
3090,630,326,266,391
3092,706,324,217,567
3093,479,536,459,270
3094,263,233,268,208
3095,9,8,9,24
3099,0,0,0,0
3105,8466,8466,7340,5575
3114,120,66,67,121
3115,5,4,9,9
3118,52,19,16,19
3122,742,320,187,508
3126,0,0,0,0
3128,2744,1945,2840,9720
3130,10,37,18,13
3131,335,106,71,160
3138,330,261,269,588
3141,7214,3886,3955,4010
3142,0,0,0,0
3144,0,0,0,0
3147,165,125,128,204
3149,494,418,365,1047
3152,463,194,84,102
3162,10879,3770,2928,3326
3163,1149,1170,1369,2608
3164,46,65,180,290
3167,47,39,29,65
3169,667,500,447,852
3171,6,21,23,15
3176,185,154,212,303
3178,891,375,175,236
3188,72,115,150,198
3189,12898,7444,6065,13884
3191,141,64,81,71
3202,534,218,147,229
3205,648,411,282,1228
3206,136,110,134,152
3207,14833,4982,2166,5624
3209,1626,1055,676,647
3211,337,240,145,148
3213,26,37,23,31
3217,1212,1596,568,627
3218,792,1253,875,796
3219,113,233,114,69
3221,623,373,371,607
3224,725,341,165,350
3226,1,1,26,10
3227,2662,808,404,470
3228,2286,2091,1886,2086
3229,32,31,18,36
3230,84,99,73,336
3231,9314,16905,10215,12552
3232,87,88,142,399
3234,415,514,469,834
3236,491,286,282,1296
3252,270,296,698,489
3257,75,95,47,48
3259,464,308,117,57
3260,2171,2375,1502,1724
3264,5523,4140,2157,3808
3265,1268,1474,1283,1578
3266,63,70,48,57
3268,82,38,40,93
3271,0,0,0,0
3272,547,494,1818,3277
3276,27,32,43,69
3284,85,73,190,124
3285,3,14,41,28
3287,45,31,49,268
3288,2,4,6,11
3289,4402,4097,3109,7413
3290,3622,1514,873,841
3291,0,0,0,0
3293,3481,2306,2705,1822
3294,110,92,113,169
3296,812,476,344,705
3297,176,176,280,1048
3298,0,0,0,0
3299,0,0,0,0
3303,100,84,80,131
3305,9986,3057,966,760
3306,55,45,60,291
3308,27,34,48,61
3310,803,228,114,92
3311,91,51,28,25
3312,701,295,184,241
3313,150,49,36,50
3315,0,0,0,0
3317,618,433,306,566
3321,64,122,228,156
3322,445,289,334,782
3323,204,125,95,240
3324,924,739,592,1521
3325,110,71,54,117
3332,3,9,15,24
3338,330,135,106,150
3339,182,1290,462,261
3346,1510,1427,972,1420
3349,28,10,7,8
3354,74,59,74,121
3356,1585,1140,1771,8150
3357,352,236,82,64
3360,314,138,114,79
3362,1052,766,971,2962
3363,116,134,103,335
3367,0,0,0,0
3369,0,0,0,0
3372,545,276,190,395
3373,89,111,360,370
3374,1264,2268,1626,2334
3376,665,352,224,269
3379,114,46,44,38
3380,1726,1224,1576,2237
3383,0,0,0,0
3388,27,22,24,33
3389,0,0,0,0
3390,190,115,115,276
3402,169,118,125,280
3406,2340,1963,2280,3349
3413,712,463,335,550
3416,32,43,43,100
3419,543,605,805,3441
3426,0,2,1,1
3428,0,0,0,0
3430,210,148,132,202
3431,0,0,0,0
3432,208,208,290,1252
3434,142,75,107,762
3437,127,142,128,133
3438,481,233,278,347
3441,2167,766,511,1849
3443,4386,5445,6708,7976
3444,1104,904,815,1504
3447,992,1643,768,546
3450,507,391,176,204
3452,0,0,0,0
3454,8158,7580,9302,13806
3455,891,577,425,521
3465,36,82,29,21
3466,648,445,1941,1222
3474,0,0,0,0
3479,4705,2671,7827,3108
3481,35621,47329,37934,47843
3483,1284,528,233,442
3484,304,139,72,139
3489,11,13,12,15
3490,99,71,75,193
3491,849,872,837,1998
3492,143,44,45,143
3494,799,761,866,1522
3498,381,250,357,292
3499,508,362,392,1455
3501,166,129,112,220
3504,1066,1030,1063,2757
3508,480,494,1087,1320
3511,209,181,191,701
3512,33,31,25,24
3514,0,0,0,0
3515,2245,1679,3124,3804
3516,42,23,58,76
3518,252,207,155,204
3519,0,0,0,0
3520,453,354,479,1592
3521,724,1291,658,734
3522,44,38,37,31
3523,1,7,36,29
3526,1006,437,177,210
3527,271,174,145,208
3528,12,52,26,22
3529,479,692,740,1017
3530,593,297,243,154
3531,25,42,30,79
3532,1033,1157,1114,2019
3533,1303,1149,832,721
3534,0,0,0,0
3535,624,556,633,2004
3536,42,20,36,46
3537,310,185,101,74
3540,163,127,117,206
3541,66,32,25,57
3543,29,21,25,24
3545,4602,3043,3620,5196
3546,172,186,280,202
3548,687,308,221,179
3550,39,40,42,62
3551,42,49,32,53
3552,1505,1126,991,1752
3553,0,0,0,0
3555,2,5,7,11
3556,93,73,65,91
3557,63,75,70,122
3558,9932,4609,2393,4978
3559,0,0,0,0
3561,0,0,0,0
3562,0,0,0,0
3563,188,132,95,97
3564,33,35,84,109
3567,77,102,75,52
3570,6,23,14,10
3573,0,0,0,0
3576,7578,6584,5128,6994
3577,93,65,311,185
3579,0,0,0,0
3580,541,324,354,772
3581,30,20,18,27
3582,0,0,0,0
3583,318,274,267,485
3584,0,0,0,0
3587,2228,1885,1607,2030
3588,636,335,274,1575
3591,3977,1369,597,439
3592,906,786,1279,1359
3593,13,19,16,18
3594,1096,962,1355,1465
3596,2412,1156,708,1395
3597,27,12,29,52
3598,0,0,0,0
3599,0,0,0,0
3605,402,226,146,284
3607,236,112,84,130
3609,12,45,48,35
3611,35,21,23,32
3614,0,0,0,0
3615,76,52,45,56
3617,492,278,303,682
3622,44,56,95,102
3623,23,26,26,135
3624,12316,7024,2867,1958
3625,221,189,246,557
3628,44,26,77,133
3629,0,2,1,2
3630,276,212,256,681
3631,5,35,29,91
3632,18,23,16,15
3638,0,0,0,0
3642,0,0,0,14
3645,236,189,162,337
3646,13,26,18,29
3652,23,26,58,87
3653,1397,1186,1119,1153
3658,0,0,0,0
3661,4312,3691,4258,5552
3662,0,0,0,0
3663,22,22,32,53
3664,149,198,123,138
3665,3291,3409,1944,2549
3666,388,113,404,225
3669,102,134,371,416
3672,1,6,9,20
3673,574,568,466,674
3675,6079,4140,1890,1919
3679,32,35,44,103
3680,1765,2701,2708,1886
3682,3213,2566,1760,1797
3684,33,14,20,41
3685,89,98,229,217
3686,378,306,582,759
3687,729,520,1567,968
3689,261,158,118,215
3691,278,336,194,354
3693,6801,12558,4961,2939
3694,125,89,90,357
3697,0,0,0,0
3698,0,0,0,0
3701,1027,543,397,703
3702,2658,3499,2783,4278
3703,1276,1155,967,1369
3704,18169,7079,9937,6227
3705,785,866,4808,2698
3706,2373,2309,1824,2330
3707,4076,3839,2931,4284
3708,5344,3559,3218,2441
3709,5,20,19,30
