id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,G,129.2,129.0,129.6,20924,13966,10579,8411,9267,10117
0051,R,70.5,70.6,70.6,76,90,75,68,88,64
0052,R,121.65,121.7,122.15,371,281,292,275,304,320
0053,G,69.5,69.5,69.55,9,10,8,8,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,R,23.61,23.71,23.71,301,172,124,141,200,208
0056,R,34.65,34.68,34.73,22737,18857,38395,31985,42339,31346
0057,G,94.6,94.5,94.6,4,1,6,7,8,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,R,17.3,17.42,17.42,78,51,122,163,198,179
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,G,32.9,32.5,32.9,16722,16249,27134,23239,21163,23705
1102,G,40.65,40.1,40.65,5675,3529,5076,4423,5725,5745
1103,G,18.3,18.25,18.4,172,168,187,326,787,660
1104,R,27.2,27.6,27.75,2218,1136,747,962,1743,1637
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,G,14.75,14.6,14.75,603,771,543,689,1120,1418
1109,R,17.7,17.75,17.8,63,122,82,105,170,188
1110,R,18.15,18.4,18.5,113,81,92,92,240,211
1201,G,19.0,19.0,19.1,515,381,274,277,410,397
1203,R,43.15,43.95,44.35,34,27,24,19,21,26
1210,R,53.1,53.2,53.5,820,1253,1080,1548,2987,2423
1213,G,0.0,0.0,0.0,0,7,8,21,21,21
1215,G,92.3,92.1,92.4,286,250,322,606,865,1013
1216,G,70.3,70.0,70.3,5607,4883,8026,6680,7334,7659
1217,G,11.8,11.5,11.8,5635,2676,2846,3729,5101,3535
1218,G,20.45,20.35,20.45,476,393,776,963,1778,2633
1219,G,19.2,19.15,19.2,153,196,441,366,588,990
1220,R,13.35,13.6,13.65,105,101,89,138,189,409
1225,G,53.6,53.6,53.6,1,6,7,24,112,92
1227,R,37.6,37.65,37.65,362,357,467,438,734,719
1229,R,62.5,63.8,63.8,2070,813,752,801,1179,1168
1231,R,87.3,87.4,87.5,107,97,120,175,226,243
1232,R,141.5,142.0,142.0,30,35,40,37,45,57
1233,R,34.55,34.65,34.65,12,10,10,10,29,24
1234,R,38.7,38.85,38.85,114,110,100,143,304,313
1235,R,80.7,81.5,81.5,24,8,6,5,13,13
1236,R,23.8,24.75,24.75,11,42,35,55,70,129
1240,G,46.0,45.7,46.0,56,35,21,23,26,42
1256,G,228.5,227.5,228.5,6,8,9,9,13,20
1258,G,0.0,0.0,0.0,0,0,0,0,1,56
1259,G,75.5,73.4,76.0,59,19,11,9,11,14
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,G,289.0,289.0,289.0,35,13,11,11,15,17
1268,R,145.5,146.5,148.5,120,116,139,147,249,300
1301,R,77.6,77.8,78.0,6289,4551,5701,5951,7539,6916
1303,R,65.3,65.8,65.8,6058,4331,6659,5140,5404,5791
1304,R,18.85,19.0,19.0,575,976,1453,1244,1590,2098
1305,R,22.0,22.1,22.15,873,1325,2009,2275,2363,2897
1307,R,26.25,26.3,26.6,1363,1282,541,1073,1061,663
1308,G,23.5,23.3,23.5,475,517,490,677,947,1361
1309,R,16.2,16.35,16.4,555,390,512,436,552,846
1310,R,15.65,15.95,15.95,839,1069,778,795,1353,1826
1311,G,0.0,0.0,0.0,0,0,0,0,0,0
1312,G,15.8,15.8,15.85,869,700,898,1030,1428,2580
