id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,G,131.05,130.95,131.05,8982,20102,12962,9234,9423,10099
0051,G,69.3,69.15,69.3,82,134,87,73,91,65
0052,G,123.05,122.8,123.05,457,471,308,295,303,317
0053,R,68.15,68.4,68.4,31,22,11,9,10,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,G,23.66,23.61,23.66,303,373,181,158,207,209
0056,R,34.86,34.9,34.9,17169,23146,23603,31906,42128,31182
0057,R,95.6,95.65,95.65,6,8,7,6,8,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,R,17.15,17.28,17.29,74,87,96,143,195,178
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,R,33.2,33.6,33.75,12434,23033,20748,23680,21183,23117
1102,G,41.55,41.35,41.55,5767,7789,4863,4745,5841,5783
1103,R,18.9,18.95,19.2,241,282,197,314,786,661
1104,G,28.0,27.9,28.05,854,1217,816,966,1726,1643
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,R,14.9,14.95,14.95,350,480,552,641,1102,1421
1109,R,17.95,18.05,18.15,173,179,105,108,172,189
1110,G,18.7,18.65,18.7,119,98,74,89,220,212
1201,G,19.2,19.2,19.25,361,413,284,284,397,398
1203,R,47.5,48.35,48.35,46,60,34,23,22,27
1210,G,54.0,53.6,54.2,1358,1455,1127,1485,2969,2436
1213,G,6.94,6.94,6.94,1,15,10,21,20,20
1215,R,92.3,93.0,93.0,185,256,236,582,841,1012
1216,G,71.6,71.5,71.6,5579,7376,7923,6990,7404,7595
1217,G,11.9,11.8,11.9,1456,5730,3279,3653,5268,3587
1218,G,21.5,21.2,21.5,1009,1308,823,958,1755,2623
1219,G,19.35,19.3,19.35,256,263,306,366,566,978
1220,G,14.05,14.0,14.05,63,130,91,139,186,409
1225,G,54.9,54.9,54.9,12,14,9,24,111,91
1227,R,38.3,38.7,39.0,881,490,355,448,694,721
1229,R,64.4,65.5,65.5,1302,1498,800,828,1191,1175
1231,R,88.2,88.5,88.6,108,118,92,158,226,242
1232,G,143.0,143.0,143.0,32,41,36,38,45,57
1233,G,34.8,34.8,34.85,17,10,9,10,27,24
1234,G,39.25,39.15,39.25,73,178,119,136,301,314
1235,R,82.7,84.6,84.6,13,15,8,6,11,13
1236,R,24.65,24.8,24.8,12,16,29,54,68,128
1240,G,47.3,47.05,47.5,15,116,45,30,29,43
1256,R,233.0,241.0,241.0,8,6,9,8,13,20
1258,G,0.0,0.0,0.0,0,0,0,0,0,54
1259,R,74.9,75.2,75.2,15,29,13,10,12,14
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,R,291.0,292.0,292.5,19,29,13,12,16,17
1268,G,150.0,146.5,150.0,218,158,123,147,242,302
1301,G,80.9,80.8,81.0,5014,8004,5869,5988,7635,6948
1303,G,68.1,67.4,68.2,6110,7898,6063,5423,5490,5807
1304,R,19.8,19.95,19.95,629,1204,965,1255,1597,2094
1305,G,23.6,23.5,23.6,782,1847,1462,2299,2395,2901
1307,G,27.3,27.05,27.45,511,1027,633,1119,1061,676
1308,G,23.75,23.6,23.95,806,907,605,684,942,1363
1309,G,17.35,17.25,17.35,310,496,344,432,554,842
1310,G,16.4,16.4,16.4,612,1175,841,825,1197,1840
1311,G,0.0,0.0,0.0,0,0,0,0,0,0
1312,G,16.35,16.35,16.45,895,1473,942,1030,1432,2560
1313,G,16.3,16.15,16.4,1268,2508,1541,1302,2311,1963
1314,G,10.05,9.9,10.05,7373,8612,12963,13804,11469,9932
1315,G,71.4,71.4,71.4,15,23,11,18,20,21
1316,R,11.0,11.15,11.3,2278,1999,1144,2229,1741,1666
1319,G,77.7,76.8,77.7,3962,4066,5411,11787,9146,7250
1321,G,36.45,36.15,36.45,186,120,135,100,104,151
1323,R,31.3,31.4,31.4,21,25,42,42,60,59
1324,G,18.55,18.2,18.6,1476,3037,5048,4028,2050,1043
1325,R,22.55,22.65,22.75,72,77,73,87,133,361
1326,G,64.7,63.8,64.7,2477,4742,3237,3798,3769,3174
1333,G,0.0,0.0,0.0,0,0,0,0,0,0
1336,R,20.35,20.5,20.5,76,61,42,51,118,410
1337,R,7.13,7.14,7.14,197,285,216,267,850,854
1338,R,38.25,38.5,38.65,190,139,67,158,158,138
1339,G,68.0,66.3,68.8,1757,1695,881,1445,799,520
1340,G,11.4,11.35,11.45,206,87,81,86,356,288
1341,R,63.0,63.4,63.4,10,12,14,10,10,13
1342,R,113.0,115.5,116.0,481,438,435,474,529,2111
1402,G,30.75,29.95,30.75,9977,8609,6282,7077,7020,8217
1408,G,0.0,0.0,0.0,0,0,0,0,0,0
1409,R,15.35,15.4,15.5,1438,1639,1186,1700,1757,2123
1410,G,37.7,37.4,37.7,23,44,38,31,49,86
1413,G,8.16,8.14,8.16,20,18,22,43,49,50
1414,R,17.45,17.5,17.5,116,79,64,92,129,160
1416,G,10.9,10.9,10.9,86,169,170,154,268,347
1417,G,12.15,12.0,12.2,162,162,130,292,425,2760
1418,G,20.8,20.7,20.8,25,26,19,19,34,36
1419,G,44.9,44.85,44.9,47,48,45,38,108,86
1423,G,30.5,30.5,30.95,90,112,119,63,131,145
1432,G,18.0,17.8,18.25,948,883,299,209,557,829
1434,R,25.35,25.4,25.45,1178,1349,940,915,1100,1058
1435,G,44.9,42.1,44.9,148,50,22,32,16,12
1436,G,77.4,77.4,77.4,23,78,166,145,104,86
1437,R,29.9,30.1,30.2,206,165,245,200,205,443
1438,R,30.05,30.3,30.45,14,26,71,54,66,116
1439,R,22.8,23.05,23.05,17,10,11,18,30,62
1440,R,15.65,15.75,15.8,1817,1421,1022,842,890,953
1441,G,13.3,13.3,13.3,17,13,24,39,66,58
1442,G,38.1,37.7,38.1,607,807,685,641,804,947
1443,R,28.5,28.7,28.7,20,35,23,33,31,169
1444,R,10.5,10.55,10.65,1141,1336,1019,1977,2484,2629
1445,R,20.2,20.25,20.3,159,166,147,434,362,315
1446,G,39.35,39.3,39.65,119,222,131,133,220,141
1447,G,7.76,7.72,7.78,1117,1273,685,628,792,992
1449,R,23.15,23.6,23.7,2260,3612,3689,1636,1053,633
1451,G,19.1,19.05,19.1,109,111,84,94,159,281
1452,R,16.55,16.7,16.7,80,90,75,66,78,82
1453,G,14.4,14.25,14.5,85,323,424,204,229,391
1454,G,17.3,17.25,17.5,34,112,54,81,120,111
1455,G,10.75,10.75,10.9,670,937,881,577,529,577
1456,R,15.8,16.35,16.35,23,47,52,51,55,66
1457,G,17.6,17.6,17.6,120,94,80,91,147,201
1459,R,10.15,10.2,10.2,116,126,95,86,105,85
1460,R,7.3,7.42,7.47,764,878,654,498,1430,1283
1462,G,0.0,0.0,0.0,0,0,0,0,0,0
1463,R,18.1,18.9,19.1,1033,551,659,352,270,199
1464,G,13.1,13.1,13.15,171,238,166,169,241,256
1465,R,13.45,13.55,13.55,14,31,22,36,54,64
1466,R,11.05,11.15,11.2,75,72,52,48,52,59
1467,G,11.15,11.1,11.25,544,1184,785,841,1834,2215
1468,R,13.6,14.25,14.25,51,42,47,41,42,53
1469,G,0.0,0.0,0.0,0,0,0,0,0,0
1470,R,19.6,19.65,19.65,2,4,9,11,23,41
1471,G,18.2,18.1,18.35,1706,1479,1866,6188,6448,3814
1472,G,53.0,52.7,54.0,81,68,196,87,153,91
1473,R,29.2,29.9,29.95,353,496,751,517,342,330
1474,G,11.7,11.65,11.7,65,123,82,78,128,138
1475,G,50.5,50.3,50.5,93,73,70,46,56,94
1476,G,578.0,572.0,578.0,582,565,753,674,764,755
1477,R,367.0,370.5,374.0,968,2132,1745,2178,3520,2603
1503,G,101.5,101.0,102.5,1262,1633,1594,2422,5639,6534
1504,R,46.1,46.95,47.25,25491,19259,9102,9512,17602,18666
1506,R,16.1,16.2,16.2,42,86,69,85,167,368
1507,G,0.0,0.0,0.0,0,0,0,0,0,0
1512,R,12.35,12.6,12.65,29,25,26,34,45,183
1513,G,104.0,102.5,104.5,2484,3616,4599,6778,17406,22841
1514,G,56.0,55.7,56.4,2453,3451,4108,4130,8536,8991
1515,G,60.7,59.9,60.7,4431,30309,10040,5244,3443,2020
