id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,G,126.6,126.0,126.6,7561,5499,5786,8145,9106,10897
0051,G,70.8,70.5,70.8,80,48,65,103,81,59
0052,G,117.0,116.6,117.35,297,276,234,290,294,329
0053,R,67.7,67.85,67.85,9,6,7,9,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,G,23.8,23.77,23.8,151,173,136,229,208,221
0056,G,35.31,35.31,35.43,23834,20554,21575,47512,36376,34740
0057,G,93.1,92.95,93.15,6,6,6,9,8,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,R,17.81,17.86,17.93,92,152,257,270,211,200
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,G,35.1,35.1,35.2,15558,19923,21411,19046,21736,25155
1102,R,40.2,40.35,40.4,2111,3691,4134,6797,5462,6107
1103,G,19.3,19.2,19.55,1182,738,508,673,916,661
1104,G,26.75,26.75,26.9,2381,3339,1478,1867,2568,1589
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,G,14.95,14.95,15.05,238,330,1042,1429,1888,1370
1109,R,17.95,18.0,18.05,67,79,111,216,243,206
1110,G,19.05,19.05,19.05,27,56,94,237,319,218
1201,R,18.8,18.85,19.1,324,247,296,461,438,419
1203,G,41.0,41.0,41.0,5,14,14,18,26,25
1210,G,55.7,55.3,55.7,1542,1774,1765,4557,3323,2359
1213,G,6.64,6.6,6.64,11,27,35,21,27,22
1215,G,98.3,97.9,98.9,1040,2294,969,942,1353,1001
1216,R,70.8,70.9,71.0,2586,5244,5693,6942,7158,7653
1217,G,12.45,12.45,12.5,1158,3446,4671,7693,4515,3171
1218,R,23.55,23.65,23.8,304,607,810,1669,2492,2712
1219,R,20.05,20.15,20.15,190,206,391,728,876,1065
1220,G,14.3,14.05,14.3,174,125,215,228,362,426
1225,R,53.2,53.8,54.5,40,41,34,175,154,95
1227,G,38.1,38.0,38.15,388,370,462,684,940,744
1229,G,62.4,62.3,62.4,1002,1355,948,1580,1475,1230
1231,R,87.5,88.7,88.8,237,144,179,294,285,252
1232,G,143.5,143.5,144.0,21,29,32,44,48,59
1233,G,36.25,35.8,36.25,6,10,11,33,35,23
1234,R,38.5,38.55,38.7,97,129,173,383,354,311
1235,R,75.8,77.0,77.0,2,2,7,16,19,16
1236,G,21.45,21.4,21.55,13,23,108,72,133,149
1240,R,47.4,47.5,47.5,10,23,30,29,30,44
1256,R,271.5,278.0,278.0,12,6,8,15,17,21
1258,G,0.0,0.0,0.0,0,0,0,0,24,138
1259,G,75.0,74.5,75.0,17,11,11,13,13,15
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,R,284.5,285.0,285.0,6,13,10,19,20,17
1268,R,150.0,152.5,155.5,170,176,139,221,316,283
1301,G,82.6,82.3,82.8,4166,7102,6387,8174,7659,7470
1303,G,69.0,68.8,69.0,1586,4822,4076,5154,5116,6157
1304,R,21.6,21.8,22.0,775,1391,1346,1980,1743,2180
1305,R,25.9,26.15,26.45,2132,4381,2921,3093,2164,2768
1307,G,27.2,27.1,27.7,557,2314,1856,1040,1023,570
1308,G,25.85,25.8,26.2,754,790,924,1155,1397,1522
1309,R,18.1,18.35,18.4,292,357,467,661,581,862
1310,R,16.25,16.55,16.6,1375,1223,929,1186,3103,1783
1311,G,0.0,0.0,0.0,0,0,0,0,0,0
1312,R,17.25,17.4,17.55,1169,1605,1239,1753,2147,2816
1313,R,15.6,15.7,15.8,889,1282,1411,3432,2249,1975
1314,R,9.69,9.7,9.77,4959,11113,7039,8507,8927,8178
1315,G,71.6,71.4,71.6,14,14,35,27,27,27
1316,G,10.9,10.85,11.0,2076,4187,2711,1716,1624,1622
1319,R,74.5,76.4,76.8,12564,29736,15794,9764,7678,6562
1321,R,35.95,36.0,36.1,112,96,100,102,165,163
1323,R,31.65,31.75,31.75,7,42,44,58,71,61
