id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,G,125.5,124.55,125.5,8004,7389,9224,9400,9727,11244
0051,G,71.4,70.05,71.4,92,73,105,107,78,57
0052,G,117.15,116.0,117.15,491,291,287,310,314,337
0053,R,67.2,67.55,67.55,5,9,9,10,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,G,23.23,23.08,23.23,182,115,265,248,222,226
0056,G,35.42,35.14,35.59,31813,29700,45340,52208,36965,35180
0057,G,92.35,92.25,92.35,2,13,8,10,10,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,G,17.74,17.58,17.74,153,416,372,248,198,194
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,G,35.2,35.1,35.35,15173,14111,17779,18260,21043,25270
1102,G,39.85,39.6,39.9,4712,3742,5278,6933,5615,6448
1103,R,18.6,18.65,18.85,380,478,510,1259,917,639
1104,R,27.6,27.7,28.15,668,1020,1196,2485,2542,1511
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,R,16.15,16.3,16.4,1557,1218,1927,1575,2033,1321
1109,G,18.1,18.1,18.2,72,155,320,237,254,208
1110,G,19.15,19.1,19.25,85,123,193,337,323,221
1201,G,19.0,19.0,19.15,425,285,356,508,484,415
1203,G,41.95,41.55,41.95,11,8,16,21,28,28
1210,R,53.8,54.3,54.8,1464,1568,6343,4459,3430,2276
1213,R,6.27,6.36,6.36,53,24,11,20,26,21
1215,G,96.5,96.3,96.9,341,470,786,1084,1429,945
1216,G,71.4,71.1,71.5,4164,3339,7186,7771,7253,7740
1217,R,13.1,13.3,13.55,10834,6256,9933,7099,4255,2945
1218,G,23.9,23.9,24.2,1717,1660,1321,2526,2635,2709
1219,R,20.0,20.15,20.3,748,398,472,767,1200,1105
1220,R,14.45,14.95,15.2,1627,443,251,255,603,435
1225,R,55.7,56.4,56.8,35,24,95,194,160,94
1227,R,38.0,38.1,38.2,267,419,613,911,982,744
1229,R,59.8,60.2,60.8,913,895,1337,1540,1503,1241
1231,R,83.7,84.2,84.9,174,307,293,287,297,252
1232,G,143.5,143.5,144.0,23,32,33,52,51,62
1233,G,36.0,35.95,36.0,11,6,19,43,35,23
1234,R,37.95,38.65,38.85,628,345,358,473,380,313
1235,R,83.2,84.6,84.6,11,5,36,16,19,19
1236,R,21.4,21.6,21.7,790,211,79,96,144,155
1240,R,46.6,46.85,46.85,10,19,30,27,43,45
1256,G,269.5,268.5,269.5,14,20,19,17,24,22
1258,G,0.0,0.0,0.0,0,0,0,0,47,195
1259,R,74.3,74.9,74.9,16,6,9,13,14,16
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,G,286.0,285.0,286.0,13,8,14,19,21,17
1268,G,145.0,145.0,148.5,155,163,270,336,350,275
1301,G,79.6,79.3,79.7,7222,7554,7100,9310,7534,7954
1303,G,65.8,65.3,65.9,4081,3783,4318,5473,5223,6317
1304,R,20.5,20.9,21.15,1210,1029,2322,1944,2015,2179
1305,R,22.85,23.1,23.25,826,1258,4470,2478,2216,2612
1307,R,23.65,24.5,24.5,872,385,531,1010,748,440
1308,R,23.6,24.0,24.1,633,723,1428,1193,1434,1600
1309,R,17.1,17.15,17.3,536,517,880,671,657,866
1310,R,15.25,15.45,15.55,631,765,1536,1519,3040,1743
1311,G,0.0,0.0,0.0,0,0,0,0,0,0
1312,R,16.5,16.7,16.8,871,1317,2184,1816,2245,2873
1313,R,15.2,15.45,15.65,1858,1493,3325,3343,2255,1932
1314,R,9.27,9.28,9.35,4442,4601,9271,8997,9081,8231
1315,R,72.4,72.7,72.9,76,59,29,25,26,27
1316,R,10.7,10.75,10.8,851,2545,1784,1245,1830,1506
1319,R,60.6,62.1,62.8,4325,4724,8960,6614,5892,5843
