id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,G,130.9,130.55,131.0,23631,16372,11238,8666,9359,10070
0051,G,71.1,71.1,71.3,282,128,82,70,90,65
0052,G,123.25,122.8,123.6,902,402,312,287,310,320
0053,G,70.35,69.9,70.5,34,14,9,8,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,R,23.82,23.92,23.92,469,250,144,144,202,208
0056,G,34.97,34.83,35.15,38461,21647,31886,31986,42501,31338
0057,G,95.65,95.5,95.65,3,2,6,6,8,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,G,17.5,17.39,17.5,47,53,122,161,197,178
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,R,33.0,33.15,33.15,36628,19074,23415,23337,21279,23657
1102,R,40.4,41.05,41.25,12805,5644,4719,4573,5792,5775
1103,R,18.3,18.6,18.65,367,205,191,326,788,660
1104,R,27.75,27.85,27.95,1198,1276,746,965,1740,1637
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,G,14.75,14.75,14.9,648,736,548,680,1118,1420
1109,R,17.75,17.85,17.9,391,168,95,108,173,189
1110,G,18.6,18.45,18.6,57,84,85,91,237,211
1201,R,19.05,19.15,19.15,542,425,282,281,405,397
1203,G,44.45,44.2,44.8,40,25,26,19,22,26
1210,R,53.4,53.9,54.0,1965,1519,1071,1488,2970,2427
1213,G,7.15,7.07,7.15,11,7,8,21,21,21
1215,R,92.0,92.4,92.5,368,288,273,598,863,1013
1216,G,70.7,70.5,70.8,9710,5544,7806,6785,7380,7660
1217,R,11.55,11.8,12.15,19069,6189,3566,3873,5254,3605
1218,R,20.35,21.1,21.15,2945,932,831,997,1793,2631
1219,G,19.15,19.15,19.25,388,232,437,368,575,988
1220,G,13.7,13.7,13.75,128,116,89,138,188,409
1225,R,53.1,53.7,54.3,28,12,8,24,112,92
1227,R,37.85,38.2,38.3,628,435,410,443,723,720
1229,R,64.5,64.9,65.0,2396,1151,758,818,1193,1175
1231,R,87.6,87.8,88.4,180,102,101,173,226,243
1232,R,142.0,143.5,144.0,77,39,35,38,45,57
1233,G,34.75,34.65,34.75,11,11,10,10,29,24
1234,R,38.75,38.9,39.0,258,145,108,144,304,313
1235,R,81.6,82.2,82.6,20,12,7,6,13,13
1236,R,24.7,24.9,24.9,14,31,31,55,69,129
1240,G,47.4,47.2,49.2,402,110,41,29,29,43
1256,R,227.5,228.0,228.0,7,8,9,9,13,20
1258,G,0.0,0.0,0.0,0,0,0,0,1,55
1259,R,73.9,74.2,74.6,34,23,12,10,12,14
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,G,289.0,288.5,290.5,50,22,12,12,16,17
1268,G,147.0,147.0,149.0,63,119,125,144,247,300
1301,R,78.6,79.9,79.9,12244,6266,5687,6004,7588,6936
