id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,R,124.85,125.35,125.7,4490,6076,9301,9321,9733,11191
0051,G,71.35,69.45,71.35,81,78,106,107,78,57
0052,G,116.75,116.35,116.95,166,274,287,308,314,337
0053,R,67.1,67.6,67.7,16,9,10,10,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,R,23.15,23.39,23.43,222,143,261,250,222,226
0056,G,35.14,35.06,35.2,25933,31482,42654,52287,37078,35066
0057,R,92.3,92.45,92.55,5,5,8,10,10,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,R,17.88,17.98,18.5,1219,527,406,267,208,198
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,R,35.15,35.2,35.3,13704,13678,17876,17568,21005,25266
1102,R,39.7,40.0,40.1,5021,3969,5183,6914,5624,6446
1103,G,18.7,18.45,18.7,459,458,513,1188,912,640
1104,G,27.75,27.45,27.9,1161,1036,1128,2489,2549,1514
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,G,15.6,15.0,15.6,4349,1946,2044,1635,2046,1338
1109,R,18.1,18.15,18.25,99,144,313,237,253,207
1110,G,19.1,18.95,19.1,135,141,190,332,323,221
1201,G,19.0,18.95,19.15,180,266,330,505,484,414
1203,G,41.7,41.7,41.7,8,7,16,21,28,28
1210,G,54.4,54.2,55.0,1814,1470,6273,4454,3388,2277
1213,G,0.0,0.0,0.0,0,24,11,19,26,21
1215,G,96.7,95.5,98.1,853,493,806,1086,1391,947
1216,R,71.0,71.1,71.5,4296,3592,7090,7493,7227,7732
1217,G,13.25,13.15,13.45,6773,6683,9987,7191,4299,2968
1218,R,24.0,24.5,24.8,1769,1409,1337,2441,2636,2714
1219,G,20.35,20.15,20.4,417,429,456,768,1171,1101
1220,G,14.7,14.6,15.0,472,506,264,260,588,433
1225,G,53.0,52.6,53.0,18,24,95,193,160,94
1227,R,38.1,38.25,38.45,245,421,592,884,982,742
1229,R,60.4,60.8,60.8,572,826,1254,1536,1503,1234
1231,R,84.2,85.5,85.5,219,254,293,288,298,252
1232,G,143.5,143.5,144.0,24,28,33,51,50,62
1233,G,35.95,35.55,35.95,4,6,19,43,35,23
1234,G,38.95,38.45,38.95,187,318,361,474,375,313
1235,G,85.0,84.6,85.0,21,9,36,17,20,17
1236,R,21.6,21.8,21.8,9,208,77,95,143,153
1240,G,47.0,46.85,47.15,42,19,31,27,39,45
1256,R,269.0,270.0,271.5,8,15,19,17,23,22
1258,G,0.0,0.0,0.0,0,0,0,0,40,186
1259,R,74.7,74.8,74.8,4,6,10,13,14,16
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,G,285.0,285.0,285.0,2,7,14,19,21,17
1268,G,146.0,145.5,146.5,83,141,252,331,344,275
1301,R,79.0,79.6,79.8,6262,7153,7143,8788,7551,7947
1303,R,65.2,66.2,66.2,2832,3621,4278,5271,5213,6293
1304,G,20.85,20.55,20.85,1265,1100,2289,1943,2015,2176
1305,G,23.05,22.75,23.3,1184,1190,4168,2478,2184,2611
1307,G,24.55,24.1,24.7,374,430,533,1009,750,441
1308,R,23.95,24.05,24.15,504,709,1408,1187,1429,1593
1309,G,17.15,17.1,17.2,179,478,870,669,653,864
1310,G,15.45,15.35,15.55,729,786,1509,1508,3043,1745
1311,G,0.0,0.0,0.0,0,0,0,0,0,0
1312,G,16.7,16.65,16.75,499,1208,2142,1786,2241,2866
1313,G,15.4,15.0,15.5,1484,1468,3097,3340,2250,1934
1314,G,9.37,9.33,9.38,4377,4533,9099,8869,9076,8192
1315,G,73.0,72.8,73.1,42,63,30,26,26,27
1316,R,10.75,10.8,10.8,736,2272,1768,1248,1829,1503
1319,G,62.7,61.2,62.7,3595,4425,7608,6613,5899,5830
1321,G,34.4,34.3,34.5,67,92,78,106,186,178
1323,R,31.7,31.8,31.8,13,18,47,74,70,63
1324,G,11.6,11.45,11.6,54,65,68,74,62,44
1325,G,22.95,22.6,22.95,55,81,107,172,216,408
1326,R,60.7,60.9,61.2,1958,4378,4907,3684,3107,3117
1333,G,0.0,0.0,0.0,0,0,0,0,0,0
1336,G,21.65,21.2,21.65,74,49,99,173,311,548
1337,G,7.33,7.27,7.4,309,377,520,1390,1327,1148
1338,G,35.0,34.25,35.0,127,130,199,152,134,150
1339,G,47.0,47.0,47.15,209,135,173,158,240,205
1340,G,12.3,11.9,12.3,44,102,151,618,463,296
1341,R,67.0,67.1,67.1,6,13,12,10,10,13
1342,R,108.0,109.0,112.0,770,462,464,586,1419,2314
1402,G,28.3,28.15,28.4,5291,5512,5836,6460,6561,8587
1408,G,0.0,0.0,0.0,0,0,0,0,0,0
1409,G,16.35,16.35,16.35,2305,1982,1682,1829,2068,2163
1410,G,38.2,37.85,38.25,4,50,75,68,58,329
1413,G,8.41,8.41,8.41,11,57,41,56,55,89
1414,G,17.6,17.6,17.7,109,179,163,162,146,171
1416,G,10.35,10.2,10.35,363,194,180,361,490,341
1417,G,12.9,12.75,12.95,298,262,346,542,848,2733
1418,R,22.6,22.8,22.8,70,21,22,49,54,37
1419,G,42.55,42.5,42.55,21,103,65,178,125,95
1423,G,23.55,23.55,23.65,26,30,64,189,215,178
1432,G,16.6,16.55,16.6,127,137,363,878,1051,885
1434,R,25.45,25.5,25.55,802,1101,1016,1282,1201,1110
1435,G,0.0,0.0,0.0,0,0,0,0,8,4
1436,R,64.5,64.9,65.3,75,39,39,64,85,62
1437,R,28.05,28.1,28.1,61,127,179,210,411,411
1438,R,30.0,30.05,30.05,82,32,50,78,161,111
1439,G,22.8,22.7,22.85,21,97,42,42,61,89
1440,G,14.9,14.8,14.9,300,436,693,911,952,1022
1441,G,0.0,0.0,0.0,0,0,99,90,75,61
1442,G,33.8,33.6,34.0,270,520,636,957,979,1132
1443,G,28.5,28.35,28.5,22,35,27,30,59,198
1444,G,10.35,10.25,10.4,703,2798,1973,3000,2794,3136
1445,G,22.3,22.3,22.3,3334,802,353,316,302,236
1446,G,37.55,37.05,37.55,97,113,258,310,185,165
1447,G,7.57,7.56,7.58,182,524,709,954,1014,1092
1449,R,17.9,18.35,19.3,379,139,156,474,311,580
1451,G,18.85,18.85,19.0,68,101,153,215,317,368
1452,R,16.4,16.45,16.5,67,59,92,90,91,85
1453,G,13.3,13.05,13.3,147,86,108,252,305,496
1454,G,18.25,18.0,19.1,539,353,153,169,152,118
1455,G,9.54,9.43,9.54,285,416,439,476,559,627
1456,G,16.05,16.0,16.2,23,29,66,58,85,73
1457,G,17.6,17.6,17.7,134,162,157,205,231,242
1459,G,9.44,9.31,9.49,40,51,70,123,100,100
1460,G,7.69,7.58,7.69,731,867,1126,1996,2076,1307
1462,G,0.0,0.0,0.0,0,0,0,0,0,0
1463,G,15.2,15.0,15.25,355,330,209,192,140,129
1464,R,13.6,14.05,14.05,364,576,368,334,341,294
1465,R,13.0,13.05,13.15,258,130,51,81,88,72
1466,G,11.1,11.1,11.1,7,92,69,58,53,63
1467,G,11.9,11.45,11.9,1023,877,1853,2866,2318,2618
1468,R,12.7,12.75,12.95,39,41,37,41,48,54
1469,G,0.0,0.0,0.0,0,0,0,0,0,0
1470,G,19.3,19.15,19.3,35,18,20,30,57,42
1471,R,19.2,20.65,20.65,19105,17354,7982,7442,4744,2585
1472,G,43.6,43.2,43.6,13,18,135,216,133,74
1473,G,24.25,24.2,24.3,228,149,257,169,222,247
1474,G,11.8,11.65,11.85,60,176,152,185,177,204
1475,G,52.0,51.5,52.0,34,45,88,67,83,114
1476,G,490.0,486.5,490.0,373,471,899,839,764,798
1477,G,335.0,332.0,336.0,4566,5891,4239,5072,3337,2753
1503,G,130.0,128.5,131.0,2243,3599,4817,8321,10672,6081
1504,G,50.3,49.6,50.6,6458,11595,13971,25209,30333,17219
1506,G,17.5,17.4,17.5,49,76,115,242,337,433
1507,G,0.0,0.0,0.0,0,0,0,0,0,0
1512,R,12.85,13.2,13.2,3,42,37,55,66,207
1513,G,114.5,112.0,115.0,7879,15450,18603,27927,27364,23718
1514,G,52.7,51.3,52.7,2325,2672,4135,12661,13077,8488
1515,G,34.6,33.75,34.6,1047,1231,1270,1699,1089,886
