id,close,yVolume
1305,28.0,16774
1342,122.0,3494
1443,25.0,1436
1524,24.1,5387
1529,22.9,4534
1560,115.5,16722
1591,18.15,1680
1612,17.7,5226
2230,41.4,3732
2236,27.8,1238
2327,535.0,5964
2351,103.0,3214
2358,14.3,3204
2368,91.8,7281
2376,114.5,6424
2390,12.6,2217
2413,27.45,5344
2428,143.0,7231
2455,81.4,11489
2468,26.2,2653
2498,58.8,13879
2727,169.0,1290
2731,107.0,1296
2732,127.5,802
2736,22.45,622
2743,60.0,763
2748,64.9,3840
2753,228.5,1575
2754,142.5,578
2916,27.55,3438
3006,72.8,7765
3035,160.0,11578
3047,16.2,3038
3081,114.5,2520
3083,50.1,1884
3093,28.4,1559
3105,176.0,18958
3128,44.2,10814
3141,93.4,15089
3162,49.0,2605
3163,53.4,7225
3169,107.0,665
3178,67.8,695
3207,49.85,1318
3228,180.5,4317
3234,22.45,2797
3265,48.3,2250
3289,76.6,3268
3293,483.5,3482
3297,18.5,699
3322,19.75,1634
3434,26.6,497
3443,692.0,6567
3444,62.4,428
3466,32.05,679
3494,11.3,1417
3520,19.4,1010
3558,209.5,2904
3583,74.5,830
3675,174.0,1503
3693,105.0,2431
3704,39.0,19479
3708,101.0,5104
3714,50.1,12003
4175,76.9,765
4755,122.0,1230
4763,246.0,22279
4768,165.0,1675
4950,23.2,1632
4961,141.5,16634
4966,957.0,1321
4968,128.0,11075
4979,44.85,10026
4989,27.9,3157
5009,35.45,4587
5251,27.25,951
5258,68.0,2617
5269,799.0,1222
5274,2020.0,958
5284,69.9,2023
5321,73.0,2417
5351,43.2,8482
5410,32.05,929
5905,12.6,5055
6104,97.5,7866
6122,17.85,2261
6148,13.8,3692
6235,37.0,4217
6245,90.4,2319
6271,209.0,2142
6426,65.1,917
6470,55.1,572
6485,71.6,480
6515,423.0,978
6531,188.0,3084
6558,22.7,1349
6603,17.5,1615
6609,38.0,3944
6612,88.8,536
6620,128.0,2069
6643,509.0,7044
6669,776.0,2061
6679,247.5,2020
6719,279.5,2812
6741,113.0,4756
6781,741.0,1231
6788,98.3,451
6875,70.5,1948
6919,134.0,2514
6925,58.2,1143
7427,59.4,865
8028,58.0,6754
8038,42.1,1079
8040,54.6,1780
8046,236.5,7125
8049,32.0,2427
8069,173.5,31335
8088,24.0,1118
8105,13.25,45523
8210,78.2,1516
8249,29.8,6244
8420,80.8,1522
8938,99.5,2346
9928,19.5,643
9962,18.8,8730
