id,yVolume,ma5,ma20,ma60
0015,0,0,0,0
0050,14601,19563,13087,12989
0051,19,35,27,37
0052,248,343,334,331
0053,12,16,8,8
0054,0,0,0,0
0055,256,262,205,243
0056,11518,14347,16168,21639
0057,116,44,18,9
0058,0,0,0,0
0059,0,0,0,0
0060,0,0,0,0
0061,323,325,188,220
0080,0,0,0,0
0081,0,0,0,0
1101,21500,27958,25982,28609
1102,3928,3685,8234,7129
1103,96,264,151,188
1104,604,979,440,426
1107,0,0,0,0
1108,115,250,163,194
1109,129,78,70,117
1110,76,58,99,99
1201,287,258,175,232
1203,29,28,21,22
1210,1077,1030,1012,865
1213,13,6,9,10
1215,246,378,438,358
1216,7162,6837,6077,9179
1217,809,857,2075,1991
1218,1869,1987,2892,4265
1219,7458,2220,966,820
1220,313,381,245,169
1225,2,7,8,25
1227,749,741,466,426
1229,932,1491,874,804
1231,484,370,208,185
1232,34,82,107,87
1233,5,11,9,10
1234,346,515,358,265
1235,11,3,7,11
1236,39,71,137,146
1240,8,10,12,26
1256,29,12,13,16
1258,12,64,83,198
1259,27,11,10,9
1262,0,0,0,0
1264,32,17,13,11
1268,50,146,151,162
1301,5036,5480,6258,7085
1303,5657,4622,6148,8236
1304,2541,3292,3513,2816
1305,5661,4949,6221,4253
1307,75,44,64,120
1308,1071,2412,1552,1720
1309,524,995,1076,1400
1310,304,512,361,423
1311,0,0,0,0
1312,3188,3328,3434,4700
1313,3603,2778,1616,1657
1314,3499,4300,5188,7145
1315,1,11,13,38
1316,485,510,579,851
1319,3628,2703,4936,6414
1321,51,119,93,96
1323,26,43,48,43
1324,36,38,28,20
1325,396,351,1954,892
1326,3172,2815,2206,3025
1333,0,0,0,0
1336,1268,599,303,643
1337,170,228,335,767
1338,82,90,99,139
1339,55,59,111,167
1340,78,82,110,122
1341,24,16,17,19
1342,1013,1658,2943,2500
1402,6365,5913,10576,12989
1408,0,0,0,0
1409,607,1252,1833,2458
1410,49,65,89,488
1413,47,26,30,77
1414,263,242,286,230
1416,53,45,207,147
1417,896,1526,10106,7600
1418,2,15,16,15
1419,33,45,33,72
1423,114,68,74,206
1432,519,316,271,296
1434,493,622,770,918
1435,0,0,0,0
1436,25,19,30,38
1437,30,49,256,235
1438,17,72,37,43
1439,153,545,156,177
1440,406,459,750,997
1441,27,29,37,35
1442,904,1574,1129,1314
1443,1253,1816,604,250
1444,1062,1528,3769,2890
1445,821,1370,608,224
1446,33,26,59,73
1447,1171,643,704,857
1449,39,108,360,450
1451,267,271,283,383
1452,60,54,60,70
1453,123,148,180,548
1454,19,93,65,83
1455,367,390,467,657
1456,7,19,34,49
1457,211,155,173,238
1459,25,33,49,57
1460,403,301,315,501
