id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,R,133.55,133.75,133.85,6964,14354,9056,10366,9401,10021
0051,R,71.5,72.1,72.1,50,76,64,71,87,67
0052,R,126.3,126.7,126.7,149,246,306,335,317,324
0053,R,70.15,70.35,70.35,16,12,10,10,10,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,G,23.89,23.85,23.89,184,367,210,186,208,206
0056,R,36.13,36.57,36.58,31120,33119,23915,33130,40074,31616
0057,R,98.15,98.25,98.25,11,11,9,7,8,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,G,16.17,16.08,16.17,366,293,279,172,218,186
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,R,34.45,34.5,34.6,9067,11719,22923,23580,21800,22350
1102,G,40.85,40.75,41.35,21664,18087,8236,6167,6439,5657
1103,R,18.95,19.0,19.05,90,203,258,233,411,668
1104,G,30.25,30.25,30.25,1037,1529,1103,842,1335,1696
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,G,15.95,15.9,16.0,945,929,676,546,954,1464
1109,R,18.1,18.45,18.45,439,445,220,150,184,192
1110,G,18.95,18.9,19.1,49,79,93,94,162,210
1201,G,19.05,19.05,19.15,244,281,286,274,365,402
1203,R,52.9,53.0,53.3,31,48,38,33,25,28
1210,R,58.6,58.8,58.8,4439,3669,2279,1649,3121,2578
1213,R,7.39,7.44,7.55,625,430,120,51,36,30
1215,R,95.9,97.0,97.2,718,524,391,378,646,1011
1216,R,73.8,74.3,74.6,11836,10453,14682,10310,8605,7759
1217,R,11.8,11.9,11.95,2263,1349,1095,2515,5078,3424
1218,R,21.9,22.5,22.6,1893,1081,846,963,1280,2038
1219,R,19.3,19.45,19.5,212,264,319,347,522,944
1220,G,14.4,14.35,14.4,64,172,197,130,178,414
1225,R,55.0,55.4,55.4,7,19,20,18,97,91
1227,R,38.55,38.95,39.0,330,542,535,479,561,733
1229,R,65.8,66.3,66.6,765,1485,1211,967,1212,1227
1231,G,88.3,88.2,88.3,199,122,123,125,217,237
1232,G,143.0,143.0,143.5,40,36,36,40,39,51
1233,G,34.9,34.8,34.9,7,8,7,9,17,23
1234,G,40.5,40.05,40.5,209,221,150,134,235,299
1235,G,83.6,82.4,86.5,30,22,10,8,12,13
1236,R,23.85,23.95,23.95,13,26,22,26,48,113
1240,R,48.15,48.25,48.4,51,44,28,29,29,43
1256,G,249.5,249.5,249.5,3,4,6,8,12,19
1258,G,0.0,0.0,0.0,0,0,0,0,0,47
1259,R,75.8,75.9,75.9,5,11,13,11,12,15
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,R,291.0,292.0,292.0,6,11,10,12,16,17
1268,R,151.0,151.5,152.0,93,102,95,130,170,284
1301,G,80.0,79.9,80.3,4168,5201,4662,5641,6595,6584
1303,R,66.5,66.8,67.2,6485,7348,6563,6508,5699,5414
1304,R,20.2,20.45,20.55,966,2382,1455,1305,1640,1899
1305,R,23.1,23.35,23.65,1265,1960,1320,1702,2444,2552
1307,R,26.3,26.4,26.45,125,301,363,551,804,696
1308,G,24.0,24.0,24.15,659,957,830,655,911,1208
1309,R,16.8,17.05,17.05,607,727,475,456,550,656
1310,G,16.0,15.95,16.0,308,514,700,753,970,1854
1311,G,0.0,0.0,0.0,0,0,0,0,0,0
1312,R,14.85,15.05,15.1,2526,4721,3671,1883,1823,2185
1313,R,15.55,15.65,15.75,707,1291,1429,1328,2264,1899
1314,R,9.8,9.88,9.88,9309,9255,7590,13934,11197,9689
1315,G,71.8,71.8,71.9,9,21,14,12,19,20
1316,R,12.85,12.9,13.1,2239,2159,2954,2095,2087,1840
1319,G,78.7,77.5,78.9,3311,7906,9207,8569,9641,7290
1321,R,38.1,38.15,38.15,322,223,504,282,192,196
1323,G,31.2,31.15,31.2,24,34,39,40,46,58
1324,R,18.05,18.2,18.35,418,969,2414,4369,2463,1254
1325,R,44.5,44.9,44.9,4185,3213,4653,1608,866,651
1326,G,63.0,63.0,63.2,5884,4903,3939,3804,3975,3234
1333,G,0.0,0.0,0.0,0,0,0,0,0,0
1336,R,21.05,21.2,21.45,90,107,96,64,103,352
1337,R,7.13,7.15,7.15,134,302,252,238,530,817
1338,G,43.8,43.7,43.95,291,326,613,269,245,177
1339,R,66.2,67.2,67.7,537,610,1011,1342,948,592
1340,G,11.25,11.25,11.25,108,110,102,92,143,288
1341,G,63.0,63.0,63.0,4,7,8,11,10,11
