stockId	time	中文名稱
6432	0811_1311	今展科
8109	0811_1141	博大
3466	0811_1141	致振
8050	0811_0916	廣積
3035	0811_0916	智原
3231	0811_0916	緯創
3558	0811_0916	神準
6223	0811_0916	旺矽
6672	0811_0916	騰輝電子-KY
3581	0811_0916	博磊
4746	0811_0916	台耀
4967	0811_0916	十銓
2745	0811_0916	五福
6188	0811_0916	廣明
3325	0811_0916	旭品
6125	0811_0916	廣運
3689	0811_0916	湧德
6538	0811_0916	倉和
2440	0811_0916	太空梭
2376	0811_0916	技嘉
8112	0811_0916	至上
3583	0811_0916	辛耘
6841	0811_0916	長佳智能
3338	0811_0916	泰碩
