time	stockId	中文名稱
0901_1022	2425	承啟
0901_1019	5439	高技
0901_1019	2201	裕隆
0901_1019	1217	愛之味
0901_1016	4908	前鼎
0901_1016	2367	燿華
0901_1013	6205	詮欣
0901_1013	3059	華晶科
0901_1013	3025	星通
0901_1013	2748	雲品
0901_1009	9919	康那香
0901_1009	8996	高力
0901_1009	8088	品安
0901_1009	6811	宏碁資訊
0901_1009	6284	佳邦
0901_1009	6173	信昌電
0901_1009	6127	九豪
0901_1009	6122	擎邦
0901_1009	3622	洋華
0901_1009	3548	兆利
0901_1009	3444	利機
0901_1009	3311	閎暉
0901_1009	3272	東碩
0901_1009	3257	虹冠電
0901_1009	3081	聯亞
0901_1009	3060	銘異
0901_1009	3051	力特
0901_1009	3046	建碁
0901_1009	2402	毅嘉
0901_1009	1603	華電
0901_1007	6138	茂達
0901_1007	5328	華容
0901_1007	3588	通嘉
0901_1007	1513	中興電
0901_1004	8155	博智
0901_1004	8086	宏捷科
0901_1004	8048	德勝
0901_1004	6829	千附精密
0901_1004	6719	力智
0901_1004	6531	愛普*
0901_1004	6418	詠昇
0901_1004	6415	矽力*-KY
0901_1004	6282	康舒
0901_1004	6274	台燿
0901_1004	6234	高僑
0901_1004	5386	青雲
0901_1004	4906	正文
0901_1004	4746	台耀
0901_1004	3583	辛耘
0901_1004	3363	上詮
0901_1004	3308	聯德
0901_1004	3163	波若威
0901_1004	3094	聯傑
0901_1004	3035	智原
0901_1004	2816	旺旺保
0901_1004	2399	映泰
0901_1004	2369	菱生
0901_1004	2340	台亞
0901_1004	2331	精英
0901_1004	2204	中華
0901_1004	1802	台玻
