1569,濱川,OTC
1615,大山,Listed
3450,聯鈞,Listed
6187,萬潤,OTC
3095,及成,OTC
6579,研揚,Listed
6626,唯數,Emerging
2383,台光電,Listed
6813,富動科,Emerging
8455,大拓-KY,OTC
2239,英利-KY,Listed
2942,京站,Emerging
5284,jpp-KY,Listed
5355,佳總,OTC
4137,麗豐-KY,Listed
4553,盛復,Emerging
5523,豐謙,OTC
6499,益安,OTC
1455,集盛,Listed
2429,銘旺科,Listed
3019,亞光,Listed
3710,連展投控,OTC
2617,台航,Listed
6124,業強,OTC
6878,歐付寶,Emerging
4543,萬在,OTC
1434,福懋,Listed
2065,世豐,OTC
2303,聯電,Listed
6516,勤崴國際,OTC
8071,能率網通,OTC
2440,太空梭,Listed
2754,亞洲藏壽司,OTC
6637,醫影,Emerging
8941,關中,OTC
2646,星宇航空,Emerging
4951,精拓科,OTC
3078,僑威,OTC
3661,世芯-KY,Listed
1808,潤隆,Listed
3543,州巧,Listed
4707,磐亞,OTC
4560,強信-KY,Listed
6465,威潤,OTC
1475,業旺,Listed
2489,瑞軒,Listed
3085,新零售,OTC
6593,台灣銘板,OTC
1213,大飲,Listed
3011,今皓,Listed
8098,慶康科技,Emerging
8935,邦泰,OTC
2409,友達,Listed
2414,精技,Listed
8085,福華,OTC
2610,華航,Listed
4153,鈺緯,OTC
6415,矽力*-KY,Listed
6747,亨泰光,OTC
6434,達輝光電,Emerging
2886,兆豐金,Listed
9934,成霖,Listed
4572,駐龍,Listed
3323,加百裕,OTC
8476,台境,Listed
2455,全新,Listed
2481,強茂,Listed
6236,中湛,OTC
6668,中揚光,Listed
6707,富基電通,Emerging
6914,阜爾運通,Emerging
2915,潤泰全,Listed
1315,達新,Listed
4949,有成精密,Emerging
2474,可成,Listed
3379,彬台,OTC
6130,上亞科技,OTC
6935,王子製藥,Emerging
4743,合一,OTC
6682,華旭矽材,Emerging
6844,諾貝兒,Emerging
6166,凌華,Listed
6877,鏵友益,OTC
2401,凌陽,Listed
6618,永虹先進,Emerging
3305,昇貿,Listed
3312,弘憶股,Listed
6558,興能高,Listed
8213,志超,Listed
9136,巨騰-DR,Listed
4167,松瑞藥,OTC
4804,大略-KY,OTC
2929,淘帝-KY,Listed
6446,藥華藥,OTC
6116,彩晶,Listed
6572,博錸,Emerging
6793,天力離岸,Emerging
6693,廣閎科,OTC
6859,伯特光,OTC
8454,富邦媒,Listed
5381,合正,OTC
2233,宇隆,Listed
3004,豐達科,Listed
3581,博磊,OTC
1723,中碳,Listed
4406,新昕纖,OTC
8162,微矽電子,Emerging
4172,因華,Emerging
2612,中航,Listed
3508,位速,OTC
3515,華擎,Listed
4160,訊聯基因,OTC
5225,東科-KY,Listed
5871,中租-KY,Listed
4903,聯光通,OTC
3416,融程電,Listed
8150,南茂,Listed
3064,泰偉,OTC
6023,元大期,OTC
6729,機光科技,Emerging
6804,明係,OTC
1109,信大,Listed
1595,川寶,OTC
2034,允強,Listed
3522,御頂,OTC
1338,廣華-KY,Listed
3630,新鉅科,OTC
1234,黑松,Listed
2103,台橡,Listed
5487,通泰,OTC
8109,博大,OTC
2538,基泰,Listed
2723,美食-KY,Listed
3492,長盛,OTC
6231,系微,OTC
7558,群利,Emerging
