1513-中興電
1516-川飛
1584-精剛
2482-連宇
2701-萬企
2706-第一店
2809-京城銀
2887-台新金
3004-豐達科
3029-零壹
3046-建碁
3218-大學光
3661-世芯-KY
3704-合勤控
4119-旭富
4550-長佳
4763-材料-KY
4979-華星光
5284-jpp-KY
5312-寶島科
6016-康和證
6122-擎邦
6235-華孚
