1342-八貫
1465-偉全
1513-中興電
1713-國化
1720-生達
1752-南光
1760-寶齡富錦
1796-金穎生技
2063-世鎧
2230-泰茂
2707-晶華
2719-燦星旅
2722-夏都
2739-寒舍
2748-雲品
3013-晟銘電
3162-精確
3466-致振
3479-安勤
4102-永日
4111-濟生
4114-健喬
4130-健亞
4138-曜亞
4153-鈺緯
4163-鐿鈦
4503-金雨
4763-材料-KY
5284-jpp-KY
6139-亞翔
6523-達爾膚
6535-順藥
6579-研揚
6625-必應
6664-群翊
8049-晶采
8279-生展
