1713-國化
1720-生達
1760-寶齡富錦
1796-金穎生技
2063-世鎧
2640-大車隊
2707-晶華
2739-寒舍
2748-雲品
3013-晟銘電
3089-億杰
3466-致振
3479-安勤
3587-閎康
4102-永日
4111-濟生
4114-健喬
4130-健亞
4138-曜亞
4153-鈺緯
4163-鐿鈦
4503-金雨
4523-永彰
4979-華星光
6139-亞翔
6263-普萊德
6523-達爾膚
6535-順藥
6593-台灣銘板
6625-必應
8049-晶采
8279-生展
8403-盛弘
