1234-黑松
1342-八貫
1439-雋揚
1503-士電
1516-川飛
1540-喬福
1604-聲寶
1777-生泰
1795-美時
2317-鴻海
2482-連宇
2633-台灣高鐵
2640-大車隊
2701-萬企
2706-第一店
2707-晶華
2712-遠雄來
2727-王品
2729-瓦城
2752-豆府
2754-亞洲藏壽司
2834-臺企銀
2903-遠百
2916-滿心
3138-耀登
3209-全科
3218-大學光
3293-鈊象
3557-嘉威
3587-閎康
3661-世芯-KY
3704-合勤控
4114-健喬
4119-旭富
4205-中華食
4747-強生
4763-材料-KY
5284-jpp-KY
5704-老爺知
5904-寶雅
5906-台南-KY
6016-康和證
6195-詩肯
6205-詮欣
6235-華孚
6266-泰詠
6472-保瑞
6482-弘煜科
6590-普鴻
6592-和潤企業
6762-達亞
8432-東生華
8996-高力
9908-大台北
9918-欣天然
