1218.TW,
1442.TW,
1506.TW,
1605.TW,
1760.TW,
2201.TW,
2495.TW,
2707.TW,
2748.TW,
2753.TW,
2754.TW,
3128.TW,
3232.TW,
3444.TW,
3454.TW,
3466.TW,
3693.TW,
4763.TW,
4931.TW,
4979.TW,
5009.TW,
5015.TW,
5284.TW,
5364.TW,
5410.TW,
5489.TW,
6109.TW,
6133.TW,
6143.TW,
6245.TW,
6556.TW,
8033.TW,
8092.TW,
8478.TW,
8931.TW,
8940.TW,
